direction,eigenvalue,measured_variance,predicted_variance
912,2.9963784217834473,5.395617819203835e-08,8.584284927337649e-08
913,3.0272257328033447,2.574477164785094e-08,2.4105293761067514e-08
914,3.0383987426757812,1.032914411780439e-07,1.456711231639929e-07
915,3.1129939556121826,2.1937879068900656e-07,1.50859563063932e-07
916,3.13362979888916,1.353694472072675e-07,1.3903817830396292e-07
917,3.1849443912506104,1.245629448476393e-07,1.0763025670712523e-07
918,3.206765651702881,7.92251242387465e-08,9.818138124728648e-08
919,3.2939860820770264,8.766967596329778e-08,1.1750855577474795e-07
920,3.3545780181884766,5.694180060800136e-08,5.800834301794566e-08
921,3.4465928077697754,5.3930012455793985e-08,6.813192499066645e-08
922,3.507725715637207,7.869343932043193e-08,9.034507542082792e-08
923,3.6059653759002686,7.694433890037544e-08,7.132666723919101e-08
924,3.654630184173584,7.666509560522172e-08,8.364166603769263e-08
925,4.096810817718506,1.1682796241530014e-07,1.1191533388910102e-07
926,4.391514301300049,5.3790422782640235e-08,7.561926196331115e-08
927,4.648353576660156,1.5629444760634215e-07,1.558224340669767e-07
928,4.7896904945373535,5.1438167503192744e-08,5.8041006667508555e-08
929,4.9958367347717285,1.1276306821628168e-07,1.3148236632787302e-07
930,5.127469062805176,1.2096460011434829e-07,1.2482186662055028e-07
931,5.326406478881836,6.759761816965693e-08,6.70745237130177e-08
932,5.5689873695373535,1.9437841558556102e-07,1.9059332601045753e-07
933,5.619880199432373,2.08170376936323e-07,1.7302484422998532e-07
934,5.772887229919434,1.699394260867848e-07,9.749139451287192e-08
935,5.828851699829102,2.6547860443315585e-07,1.7384854800184257e-07
936,5.874722957611084,2.8752478442584106e-07,3.50537646909288e-07
937,5.98785924911499,3.142403102174285e-07,2.087734145561626e-07
938,6.094975471496582,3.320004395845899e-07,2.65051369296998e-07
939,6.128954887390137,3.2142685313374386e-07,2.8547901820275e-07
940,6.268826007843018,3.1395777000398084e-07,4.1637312619968725e-07
941,6.271778106689453,3.989812000781967e-07,3.3894679063450894e-07
942,6.330430030822754,2.8239671223673213e-07,3.0194698297236755e-07
943,6.371972560882568,3.2402184046986804e-07,3.370815306880104e-07
944,6.539353847503662,2.904299094552698e-07,1.7727842305248487e-07
945,6.577306270599365,2.2050707570997474e-07,2.6603348146636563e-07
946,6.632670879364014,3.2282437700814626e-07,2.9194217177064274e-07
947,6.757400989532471,3.783836746151792e-07,2.3820241779048956e-07
948,6.859241962432861,3.2937631999629957e-07,4.422702488682262e-07
949,7.104881286621094,3.327349702431093e-07,3.742941032669478e-07
950,7.259354114532471,2.2992013271050382e-07,2.0506460884917033e-07
951,7.638329029083252,2.1945523087651964e-07,2.0176375414848735e-07
952,7.909183502197266,2.487367112280481e-07,3.195750366558059e-07
953,8.116950988769531,2.3435376306224498e-07,2.5268715830861765e-07
954,8.394820213317871,9.713450310755434e-08,7.916967348364778e-08
955,10.96273136138916,5.511195695362403e-07,4.6764745320615475e-07
956,12.592706680297852,1.974807162241632e-07,1.2595302223417093e-07
957,17.555835723876953,2.77347936616934e-07,2.366357279015574e-07
958,19.491548538208008,3.530692538333824e-07,4.2731451799227216e-07
959,27.764923095703125,2.6968044153363735e-07,3.568300712686323e-07
