step,method,lr,batch_size,bucket,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance
5,flat_lr=0.015_B=32,0.015,32,flat,6.958558174119389e-08,8.08052149636751e-08,0.0,0.0,6.07708057053652e-14
10,flat_lr=0.015_B=32,0.015,32,flat,1.2654203374040662e-07,5.994137097786734e-08,0.0,0.0,3.356264376662421e-14
15,flat_lr=0.015_B=32,0.015,32,flat,4.455473145981159e-08,1.6252987222742377e-07,0.0,0.0,2.4570485077958504e-13
20,flat_lr=0.015_B=32,0.015,32,flat,4.513478657486303e-08,1.6527576462976867e-07,0.0,0.0,2.543512546849397e-13
25,flat_lr=0.015_B=32,0.015,32,flat,7.574150373557131e-08,2.5849283247225685e-07,0.0,0.0,6.219112139334293e-13
30,flat_lr=0.015_B=32,0.015,32,flat,2.3352185962721705e-08,2.4136764409377065e-07,0.0,0.0,5.423028020569431e-13
0,sharp_lr=0.015_B=32,0.015,32,sharp,0.0,0.0,0.0,0.0,0.0
5,sharp_lr=0.015_B=32,0.015,32,sharp,-0.0007630807813256979,0.0008208071230910718,0.0,0.0,4.191897460259497e-06
10,sharp_lr=0.015_B=32,0.015,32,sharp,-0.00014231323439162225,0.0008705814252607524,0.0,0.0,1.0709666639741044e-05
15,sharp_lr=0.015_B=32,0.015,32,sharp,-0.0005975599633529782,0.0012253562454134226,0.0,0.0,1.512606831965968e-05
20,sharp_lr=0.015_B=32,0.015,32,sharp,-0.0007049294654279947,0.0017522524576634169,0.0,0.0,1.8110027667717077e-05
25,sharp_lr=0.015_B=32,0.015,32,sharp,-0.0011692781699821353,0.0013822087785229087,0.0,0.0,1.275705380976433e-05
30,sharp_lr=0.015_B=32,0.015,32,sharp,-0.00216627586632967,0.00034569151466712356,0.0,0.0,7.024580554571003e-06
0,flat_lr=0.03_B=32,0.03,32,flat,0.0,0.0,0.0,0.0,0.0
5,flat_lr=0.03_B=32,0.03,32,flat,1.4039542861610244e-07,1.6273682490464125e-07,0.0,0.0,2.465863613559244e-13
10,flat_lr=0.03_B=32,0.03,32,flat,2.5441579509788426e-07,1.1927278364964877e-07,0.0,0.0,1.32429793043079e-13
15,flat_lr=0.03_B=32,0.03,32,flat,9.058769023795321e-08,3.2613957046123687e-07,0.0,0.0,9.883052492706823e-13
20,flat_lr=0.03_B=32,0.03,32,flat,9.218557295298524e-08,3.3189252235388267e-07,0.0,0.0,1.0244201320563917e-12
25,flat_lr=0.03_B=32,0.03,32,flat,1.5208530612653703e-07,5.170809913579433e-07,0.0,0.0,2.4872881532189695e-12
30,flat_lr=0.03_B=32,0.03,32,flat,4.675368714401884e-08,4.832113518205006e-07,0.0,0.0,2.1722283260333652e-12
0,sharp_lr=0.03_B=32,0.03,32,sharp,0.0,0.0,0.0,0.0,0.0
5,sharp_lr=0.03_B=32,0.03,32,sharp,-0.0015130870742723346,0.00163226795848459,0.0,0.0,1.6591760868323036e-05
10,sharp_lr=0.03_B=32,0.03,32,sharp,-0.0002584304311312735,0.0017177786212414503,0.0,0.0,4.1882554796757177e-05
15,sharp_lr=0.03_B=32,0.03,32,sharp,-0.0011626651976257563,0.002419586991891265,0.0,0.0,5.856167626916431e-05
20,sharp_lr=0.03_B=32,0.03,32,sharp,-0.0013572943862527609,0.0035060818772763014,0.0,0.0,6.931750249350443e-05
25,sharp_lr=0.03_B=32,0.03,32,sharp,-0.0022700675763189793,0.0027394224889576435,0.0,0.0,4.740433723782189e-05
30,sharp_lr=0.03_B=32,0.03,32,sharp,-0.004236993845552206,0.0006355195655487478,0.0,0.0,2.4765315174590796e-05
0,flat_lr=0.06_B=32,0.06,32,flat,0.0,0.0,0.0,0.0,0.0
5,flat_lr=0.06_B=32,0.06,32,flat,2.813758612774109e-07,3.231094183320238e-07,0.0,0.0,9.715267869706001e-13
10,flat_lr=0.06_B=32,0.06,32,flat,5.119925390317803e-07,2.3986700625755475e-07,0.0,0.0,5.35805395277672e-13
15,flat_lr=0.06_B=32,0.06,32,flat,1.863817402636414e-07,6.537868557643378e-07,0.0,0.0,3.9711550020582465e-12
20,flat_lr=0.06_B=32,0.06,32,flat,1.8763724085602007e-07,6.63466664718726e-07,0.0,0.0,4.094170315271928e-12
25,flat_lr=0.06_B=32,0.06,32,flat,3.03174601867795e-07,1.0328924417990493e-06,0.0,0.0,9.926397377679752e-12
30,flat_lr=0.06_B=32,0.06,32,flat,9.182905102989025e-08,9.621841172702261e-07,0.0,0.0,8.614867499923129e-12
0,sharp_lr=0.06_B=32,0.06,32,sharp,0.0,0.0,0.0,0.0,0.0
5,sharp_lr=0.06_B=32,0.06,32,sharp,-0.0029741886537522078,0.0032273633405566216,0.0,0.0,6.498582661151886e-05
10,sharp_lr=0.06_B=32,0.06,32,sharp,-0.00041452900040894747,0.0033443085849285126,0.0,0.0,0.00016019913891796023
15,sharp_lr=0.06_B=32,0.06,32,sharp,-0.002202280331403017,0.004718094132840633,0.0,0.0,0.00021973247930873185
20,sharp_lr=0.06_B=32,0.06,32,sharp,-0.0025162184610962868,0.007017828058451414,0.0,0.0,0.0002546397445257753
25,sharp_lr=0.06_B=32,0.06,32,sharp,-0.004286841955035925,0.005379252135753632,0.0,0.0,0.00016436836449429393
30,sharp_lr=0.06_B=32,0.06,32,sharp,-0.008120808750391006,0.001069726888090372,0.0,0.0,7.716471009189263e-05
