epoch,step,train_loss,train_accuracy,test_loss,test_accuracy,runtime_seconds
0,0,2.3030667304992676,0.134765625,2.30158269405365,0.126,0.0678268339834176
1,4,2.301938772201538,0.134765625,2.3008337020874023,0.126,0.19373524998081848
2,8,2.3010666370391846,0.134765625,2.3003207445144653,0.126,0.29896325001027435
3,12,2.3000683784484863,0.134765625,2.2997559309005737,0.126,0.40177058399422094
4,16,2.2994771003723145,0.134765625,2.299446702003479,0.126,0.5033678339677863
5,20,2.298727512359619,0.134765625,2.2989732027053833,0.126,0.6069294170010835
6,24,2.2976930141448975,0.134765625,2.2983195781707764,0.126,0.707737291988451
7,28,2.297680139541626,0.134765625,2.298551321029663,0.126,0.8117011669673957
8,32,2.2969048023223877,0.134765625,2.2983282804489136,0.126,0.9130956250010058
9,36,2.2965078353881836,0.134765625,2.2981042861938477,0.126,1.0162910419749096
10,40,2.296281337738037,0.134765625,2.2978827953338623,0.126,1.1171038749744184
11,44,2.2957327365875244,0.134765625,2.2979702949523926,0.126,1.2205446669831872
12,48,2.2953851222991943,0.134765625,2.2978826761245728,0.126,1.3272631670115516
13,52,2.2949564456939697,0.134765625,2.2976338863372803,0.126,1.4349401249783114
14,56,2.2947943210601807,0.134765625,2.2975142002105713,0.126,1.5371827089693397
15,60,2.2945964336395264,0.134765625,2.2973445653915405,0.126,1.6366733749746345
16,64,2.2942638397216797,0.134765625,2.297346353530884,0.126,1.7383447919855826
17,68,2.2940738201141357,0.134765625,2.297304630279541,0.126,1.841033625009004
18,72,2.29378080368042,0.134765625,2.2975616455078125,0.126,1.9429263749625534
19,76,2.2936224937438965,0.134765625,2.29726505279541,0.126,2.0431787919951603
20,80,2.2935614585876465,0.134765625,2.2973694801330566,0.126,2.1442700839834288
21,84,2.293308973312378,0.134765625,2.29751980304718,0.126,2.2447462499840185
22,88,2.2930877208709717,0.134765625,2.297689199447632,0.126,2.3440539590083063
23,92,2.2931201457977295,0.134765625,2.2977765798568726,0.126,2.442267249978613
24,96,2.2930407524108887,0.134765625,2.2976197004318237,0.126,2.5444769589812495
25,100,2.2929186820983887,0.134765625,2.2977858781814575,0.126,2.64492250001058
26,104,2.292915105819702,0.134765625,2.29754376411438,0.126,2.7484082090086304
27,108,2.292813539505005,0.134765625,2.2976725101470947,0.126,2.850624874990899
28,112,2.2927024364471436,0.134765625,2.297561526298523,0.126,2.952282666985411
29,116,2.2926433086395264,0.134765625,2.2975956201553345,0.126,3.0548777090152726
30,120,2.292383909225464,0.134765625,2.2974698543548584,0.126,3.155377042014152
31,124,2.2922275066375732,0.134765625,2.2972614765167236,0.126,3.256339834013488
32,128,2.2921628952026367,0.134765625,2.296986699104309,0.126,3.3585495419683866
33,132,2.292109251022339,0.134765625,2.2968552112579346,0.126,3.4597367919632234
34,136,2.2920267581939697,0.134765625,2.2966538667678833,0.126,3.559838499990292
35,140,2.29203462600708,0.134765625,2.296423077583313,0.126,3.6600173749611713
36,144,2.2918941974639893,0.134765625,2.2965651750564575,0.126,3.761827500013169
37,148,2.2917819023132324,0.134765625,2.29651415348053,0.126,3.863590499968268
38,152,2.291618585586548,0.134765625,2.296682119369507,0.126,3.9651839589932933
39,156,2.2915875911712646,0.134765625,2.296467423439026,0.126,4.067188167013228
40,160,2.2914624214172363,0.134765625,2.2965128421783447,0.126,4.169319333974272
41,164,2.291379928588867,0.134765625,2.2966818809509277,0.126,4.2716799170011654
42,168,2.2913992404937744,0.134765625,2.2964597940444946,0.126,4.3741590839927085
43,172,2.2913057804107666,0.134765625,2.2966209650039673,0.126,4.477643749967683
44,176,2.291171073913574,0.134765625,2.2969034910202026,0.126,4.579704792005941
45,180,2.2911853790283203,0.134765625,2.2970606088638306,0.126,4.683052084001247
46,184,2.291088819503784,0.134765625,2.2971147298812866,0.126,4.7859481669729576
47,188,2.2910685539245605,0.134765625,2.297179937362671,0.126,4.886030791967642
48,192,2.29109787940979,0.134765625,2.2971034049987793,0.126,4.988778500002809
49,196,2.291073799133301,0.134765625,2.29697048664093,0.126,5.127266916970257
50,200,2.2910256385803223,0.134765625,2.2970019578933716,0.126,5.229734458960593
51,204,2.2909555435180664,0.134765625,2.297391891479492,0.126,5.333485750015825
52,208,2.2910375595092773,0.134765625,2.2973997592926025,0.126,5.434888666961342
53,212,2.2910850048065186,0.134765625,2.297321081161499,0.126,5.536624791973736
54,216,2.2910711765289307,0.134765625,2.2973378896713257,0.126,5.636708583973814
55,220,2.291006326675415,0.134765625,2.2973722219467163,0.126,5.738723499991465
56,224,2.290957450866699,0.134765625,2.2973055839538574,0.126,5.841177166963462
57,228,2.2909562587738037,0.134765625,2.29764986038208,0.126,5.942197208991274
58,232,2.2910163402557373,0.134765625,2.297648072242737,0.126,6.044481749995612
59,236,2.290973424911499,0.134765625,2.2975287437438965,0.126,6.147641624964308
60,240,2.2909581661224365,0.134765625,2.2973653078079224,0.126,6.250729958992451
61,244,2.2908267974853516,0.134765625,2.2977001667022705,0.126,6.351845708966721
62,248,2.2907533645629883,0.134765625,2.29803729057312,0.126,6.452097499975935
63,252,2.290705919265747,0.134765625,2.298046112060547,0.126,6.55367983400356
64,256,2.2907137870788574,0.134765625,2.2980629205703735,0.126,6.655484959017485
65,260,2.2906899452209473,0.134765625,2.2982641458511353,0.126,6.7582660840125754
66,264,2.2906339168548584,0.134765625,2.2982553243637085,0.126,6.858766374993138
67,268,2.2905948162078857,0.134765625,2.298014283180237,0.126,6.959677708975505
68,272,2.2905776500701904,0.134765625,2.2979809045791626,0.126,7.059774916968308
