step,method,lr,batch_size,bucket,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance
190,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0028990989085286856,0.003750804578885436,0.0,0.0,9.096547000808641e-05
200,sharp_lr=0.0125_B=32,0.0125,32,sharp,0.0033477465622127056,0.0037429884541779757,0.0,0.0,8.65125039126724e-05
0,flat_lr=0.025_B=32,0.025,32,flat,0.0,0.0,0.0,0.0,0.0
10,flat_lr=0.025_B=32,0.025,32,flat,5.129884925736405e-07,9.357823387290409e-07,0.0,0.0,1.6571324390826647e-12
20,flat_lr=0.025_B=32,0.025,32,flat,4.2160155544479494e-07,1.4031738828634843e-06,0.0,0.0,3.898936295348987e-12
30,flat_lr=0.025_B=32,0.025,32,flat,4.753965185955167e-07,1.7686568298813654e-06,0.0,0.0,5.8648975433117645e-12
40,flat_lr=0.025_B=32,0.025,32,flat,8.975846412795363e-07,1.630917267902987e-06,0.0,0.0,5.098777736828319e-12
50,flat_lr=0.025_B=32,0.025,32,flat,1.1421785757192993e-06,1.6060968164310907e-06,0.0,0.0,5.223340423382572e-12
60,flat_lr=0.025_B=32,0.025,32,flat,1.3411683994490886e-06,1.8798940573105938e-06,0.0,0.0,7.748713996835743e-12
70,flat_lr=0.025_B=32,0.025,32,flat,2.3010277345747454e-06,2.348937186980038e-06,0.0,0.0,1.2121623149674576e-11
80,flat_lr=0.025_B=32,0.025,32,flat,3.023965518877958e-06,2.4245271106337896e-06,0.0,0.0,1.2583319802805804e-11
90,flat_lr=0.025_B=32,0.025,32,flat,3.0019139103387715e-06,3.0117571441223845e-06,0.0,0.0,1.889278490596613e-11
100,flat_lr=0.025_B=32,0.025,32,flat,2.8055796974513214e-06,3.5822899917548057e-06,0.0,0.0,2.703387513847133e-11
110,flat_lr=0.025_B=32,0.025,32,flat,2.7804751425719587e-06,3.46035699294589e-06,0.0,0.0,2.398669977921042e-11
120,flat_lr=0.025_B=32,0.025,32,flat,3.101577931374777e-06,3.5644900435727322e-06,0.0,0.0,2.45565998091557e-11
130,flat_lr=0.025_B=32,0.025,32,flat,3.1212837257044157e-06,3.5812163332593627e-06,0.0,0.0,2.4960601294199414e-11
140,flat_lr=0.025_B=32,0.025,32,flat,3.952427960030036e-06,3.418142568989424e-06,0.0,0.0,2.3500703119627708e-11
150,flat_lr=0.025_B=32,0.025,32,flat,4.109878318558913e-06,3.5874377317668404e-06,0.0,0.0,2.5860086641515956e-11
160,flat_lr=0.025_B=32,0.025,32,flat,4.642745807359461e-06,3.601586286094971e-06,0.0,0.0,2.5874932405023365e-11
170,flat_lr=0.025_B=32,0.025,32,flat,4.714894203061704e-06,4.090965376235545e-06,0.0,0.0,3.392681274805298e-11
180,flat_lr=0.025_B=32,0.025,32,flat,4.4565513235284016e-06,4.1043876990443096e-06,0.0,0.0,3.464701095468037e-11
190,flat_lr=0.025_B=32,0.025,32,flat,4.266004452802008e-06,3.6318610909802373e-06,0.0,0.0,2.838819630757161e-11
200,flat_lr=0.025_B=32,0.025,32,flat,4.795472250407329e-06,4.061749223183142e-06,0.0,0.0,3.583829413789097e-11
0,sharp_lr=0.025_B=32,0.025,32,sharp,0.0,0.0,0.0,0.0,0.0
10,sharp_lr=0.025_B=32,0.025,32,sharp,0.00048300562775693834,0.001840840675868094,0.0,0.0,2.0721161490655504e-05
20,sharp_lr=0.025_B=32,0.025,32,sharp,-1.919497299240902e-05,0.0020835627801716328,0.0,0.0,4.3746375013142824e-05
30,sharp_lr=0.025_B=32,0.025,32,sharp,-0.0007225527078844607,0.002869988791644573,0.0,0.0,6.575224688276649e-05
40,sharp_lr=0.025_B=32,0.025,32,sharp,-0.00012931540550198406,0.003643745556473732,0.0,0.0,7.767693750793114e-05
50,sharp_lr=0.025_B=32,0.025,32,sharp,-0.0006847171462140977,0.0037734569050371647,0.0,0.0,8.555020758649334e-05
60,sharp_lr=0.025_B=32,0.025,32,sharp,5.685095675289631e-05,0.004772328771650791,0.0,0.0,0.00011811663716798648
70,sharp_lr=0.025_B=32,0.025,32,sharp,-0.00013991122250445187,0.0036323966924101114,0.0,0.0,0.00012647721450775862
80,sharp_lr=0.025_B=32,0.025,32,sharp,-5.503702595888171e-06,0.0031136951874941587,0.0,0.0,0.0001450465206289664
90,sharp_lr=0.025_B=32,0.025,32,sharp,0.0007659404072910547,0.003618063637986779,0.0,0.0,0.0001680913264863193
100,sharp_lr=0.025_B=32,0.025,32,sharp,0.0012997823068872094,0.003766991663724184,0.0,0.0,0.00017937745724339038
110,sharp_lr=0.025_B=32,0.025,32,sharp,0.001980240922421217,0.004361444618552923,0.0,0.0,0.0001832185807870701
120,sharp_lr=0.025_B=32,0.025,32,sharp,0.002145330421626568,0.003811873495578766,0.0,0.0,0.00020404749375302345
130,sharp_lr=0.025_B=32,0.025,32,sharp,0.0021404658909887075,0.004539525136351585,0.0,0.0,0.00023015920305624604
140,sharp_lr=0.025_B=32,0.025,32,sharp,0.002922172425314784,0.004929731599986553,0.0,0.0,0.00022218645608518273
150,sharp_lr=0.025_B=32,0.025,32,sharp,0.0034450956154614687,0.004354765173047781,0.0,0.0,0.00023243622854351997
160,sharp_lr=0.025_B=32,0.025,32,sharp,0.003769623814150691,0.0058439853601157665,0.0,0.0,0.00023289088858291507
170,sharp_lr=0.025_B=32,0.025,32,sharp,0.004277504980564117,0.00714167719706893,0.0,0.0,0.0002605630434118211
180,sharp_lr=0.025_B=32,0.025,32,sharp,0.004783052485436201,0.006951544899493456,0.0,0.0,0.0002529385674279183
190,sharp_lr=0.025_B=32,0.025,32,sharp,0.004971312824636698,0.006727785803377628,0.0,0.0,0.0002769575803540647
200,sharp_lr=0.025_B=32,0.025,32,sharp,0.005745754577219486,0.00668299337849021,0.0,0.0,0.00025720559642650187
0,flat_lr=0.05_B=32,0.05,32,flat,0.0,0.0,0.0,0.0,0.0
10,flat_lr=0.05_B=32,0.05,32,flat,1.0299030464011594e-06,1.8748148704617051e-06,0.0,0.0,6.6715717152165954e-12
20,flat_lr=0.05_B=32,0.05,32,flat,8.472028980577306e-07,2.8140098038420547e-06,0.0,0.0,1.574607111365367e-11
30,flat_lr=0.05_B=32,0.05,32,flat,9.56728172241128e-07,3.5710586416826118e-06,0.0,0.0,2.3869803703058246e-11
40,flat_lr=0.05_B=32,0.05,32,flat,1.8042015881292173e-06,3.2768061828392092e-06,0.0,0.0,2.0589502325307762e-11
50,flat_lr=0.05_B=32,0.05,32,flat,2.3220604816742707e-06,3.2191503578360425e-06,0.0,0.0,2.110765728868813e-11
60,flat_lr=0.05_B=32,0.05,32,flat,2.73892101176898e-06,3.783717829719535e-06,0.0,0.0,3.153339742101302e-11
70,flat_lr=0.05_B=32,0.05,32,flat,4.713482667284552e-06,4.809567599295406e-06,0.0,0.0,5.086808405052601e-11
80,flat_lr=0.05_B=32,0.05,32,flat,6.2513490775018e-06,5.037473783886526e-06,0.0,0.0,5.433761426920647e-11
90,flat_lr=0.05_B=32,0.05,32,flat,6.185971415106906e-06,6.282866706897039e-06,0.0,0.0,8.213887209285176e-11
100,flat_lr=0.05_B=32,0.05,32,flat,5.7817992455966305e-06,7.568697128590429e-06,0.0,0.0,1.2049589104279335e-10
110,flat_lr=0.05_B=32,0.05,32,flat,5.758912266173866e-06,7.3454434641462285e-06,0.0,0.0,1.0809535905265122e-10
120,flat_lr=0.05_B=32,0.05,32,flat,6.542776645801496e-06,7.586995252495399e-06,0.0,0.0,1.1106076475142501e-10
130,flat_lr=0.05_B=32,0.05,32,flat,6.6489787968748715e-06,7.586029369122116e-06,0.0,0.0,1.1149737383364666e-10
