alpha,seed,method,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,generalization_gap,final_displacement_norm,diverged
0.0,52,alpha=0,0.11412089318037033,0.510074257850647,0.97265625,0.857,0.39595336467027664,9.454964637756348,False
0.0,152,alpha=0,0.11412089318037033,0.510074257850647,0.97265625,0.857,0.39595336467027664,9.454964637756348,False
0.1,52,alpha=0.1,0.11707070469856262,0.4925873726606369,0.9716796875,0.856,0.3755166679620743,9.432897567749023,False
0.1,152,alpha=0.1,0.15528281033039093,0.47271236777305603,0.9619140625,0.858,0.3174295574426651,9.396819114685059,False
0.5,52,alpha=0.5,0.1394129991531372,0.47576694190502167,0.9697265625,0.864,0.33635394275188446,9.620397567749023,False
0.5,152,alpha=0.5,0.15188579261302948,0.5596818029880524,0.9443359375,0.839,0.4077960103750229,9.686382293701172,False
1.0,52,alpha=1,0.15368753671646118,0.4897565692663193,0.9521484375,0.851,0.3360690325498581,10.02845287322998,False
1.0,152,alpha=1,0.1843469887971878,0.5577060878276825,0.9345703125,0.838,0.3733590990304947,10.015755653381348,False
