direction,eigenvalue,measured_variance,predicted_variance
346,0.031009918078780174,3.165217276546173e-05,3.472529351711273e-05
347,0.0313258096575737,6.0930186009500176e-05,6.021974695613608e-05
7,-0.03159277141094208,3.822734288405627e-05,1.8700273358263075e-05
348,0.03197178244590759,3.6339341022539884e-05,3.588865001802333e-05
6,-0.03256869688630104,1.064516618498601e-05,5.486335794557817e-06
349,0.03294626995921135,3.807831308222376e-05,3.821484642685391e-05
350,0.03397784009575844,7.823330088285729e-05,6.826633762102574e-05
5,-0.0350637286901474,2.2988146156421863e-05,1.5108102161320858e-05
351,0.03571108728647232,5.795365359517746e-05,5.206713467487134e-05
352,0.036139871925115585,4.907101174467243e-05,3.0064717066125013e-05
4,-0.03622143715620041,2.8890724934171885e-05,1.961809721251484e-05
353,0.03672211617231369,6.024338654242456e-05,4.856683517573401e-05
354,0.03757314756512642,7.718765118625015e-05,4.0992767026182264e-05
355,0.03846755623817444,6.36958284303546e-05,6.317082443274558e-05
3,-0.038553740829229355,2.8500739063019864e-05,1.5998215530999005e-05
356,0.040323615074157715,0.00012240017531439662,7.31276159058325e-05
357,0.040463488548994064,0.00012596428859978914,0.00013047241372987628
358,0.041859015822410583,5.248402521829121e-05,6.29687201580964e-05
2,-0.042082350701093674,1.1452096259745304e-05,3.2893058232730255e-06
1,-0.04298766329884529,1.6824504200485535e-05,9.651667824073229e-06
359,0.043445855379104614,9.600193152436987e-05,6.939563172636554e-05
360,0.04467475786805153,4.225116572342813e-05,4.9018923164112493e-05
361,0.045809414237737656,0.00012974928540643305,6.814590597059578e-05
362,0.04792453348636627,5.5369455367326736e-05,3.017975905095227e-05
0,-0.04888562485575676,5.0901489885291085e-05,1.7560676496941596e-05
363,0.050125885754823685,0.0001048205594997853,6.794355431338772e-05
364,0.052831728011369705,0.00010790649685077369,6.235919863684103e-05
365,0.05404616892337799,9.246882837032899e-05,7.160333188949153e-05
366,0.058016035705804825,7.922540680738166e-05,5.8051624364452437e-05
367,0.060908395797014236,5.177047205506824e-05,3.5801327612716705e-05
368,0.06259225308895111,0.00014118985563982278,9.140906331595033e-05
369,0.06464783847332001,9.294861956732348e-05,5.907120066694915e-05
370,0.0675823912024498,1.941849768627435e-05,2.45438586716773e-05
371,0.06923675537109375,5.247067383606918e-05,3.111440673819743e-05
372,0.0729570984840393,0.00010597651271382347,7.035390444798395e-05
373,0.08276309072971344,6.080949606257491e-05,3.223941530450247e-05
374,0.08746593445539474,3.060270319110714e-05,3.9756974729243666e-05
375,0.09413842856884003,0.00013793203106615692,0.000137150171212852
376,0.09782708436250687,0.00017962069250643253,7.068359991535544e-05
377,0.40670040249824524,0.00033540435833856463,0.0006559093599207699
378,0.4647063910961151,0.0003150273987557739,0.0004318538121879101
379,0.512712299823761,0.0002900808467529714,0.00026582865393720567
380,0.5595967769622803,0.00023882946697995067,0.00024519843282178044
381,0.5901819467544556,0.00023457661154679954,0.0004544375406112522
382,0.8837594389915466,0.00025777300470508635,0.00042422403930686414
383,1.001734972000122,0.0002030174946412444,0.0004220196569804102
384,1.284036636352539,0.0001908194535644725,0.00024048831255640835
385,1.8141762018203735,0.000292006297968328,0.00020375529129523784
