batch,diag_fraction,offdiag_fraction,offdiag_diag_ratio,diag_mass,offdiag_mass
0,0.9545576572418213,0.04544240981340408,0.2181873619556427,7.924179553985596,0.37723633646965027
1,0.9287706017494202,0.07122942805290222,0.276933491230011,10.136857986450195,0.7774175405502319
2,0.9356681704521179,0.06433181464672089,0.2622116506099701,10.164946556091309,0.6988903880119324
3,0.9421331286430359,0.05786685645580292,0.24783280491828918,7.519732475280762,0.4618702530860901
4,0.9210789799690247,0.07892098277807236,0.2927168905735016,9.852548599243164,0.8441977500915527
5,0.9454231858253479,0.05457678064703941,0.24026517570018768,7.432191371917725,0.4290407598018646
6,0.9449722170829773,0.0550277978181839,0.24131345748901367,7.904776096343994,0.4603123962879181
7,0.9096015691757202,0.09039842337369919,0.31524980068206787,9.366382598876953,0.9308539032936096
8,0.9210359454154968,0.07896405458450317,0.2928036153316498,8.470148086547852,0.726179301738739
9,0.9517572522163391,0.04824273660778999,0.22514010965824127,8.695184707641602,0.4407421350479126
10,0.9345883131027222,0.06541170924901962,0.26455599069595337,6.046505451202393,0.42319411039352417
11,0.9647877216339111,0.035212259739637375,0.191042959690094,9.337441444396973,0.3407924771308899
