direction_set,n,relative_error,log_correlation,log_mse,best_scalar,relative_error_best_scalar,permutation_pvalue_log_correlation
top_abs_eigenvalue,48.0,0.5695213369030817,0.9358897480692752,0.24007103380262493,0.6932710160129277,0.39988167586574097,0.004975124378109453
all_directions,386.0,8.850183194473612,0.12898803096129707,19.759946425491204,0.0267253010259151,0.970387547790652,0.004975124378109453
random_directions,48.0,8.404288038121955,0.40004410668349133,16.672332066139486,0.037622777488563214,0.9452078302123018,0.004975124378109453
hessian_noise_structure,12.0,0.25568774342536926,0.28522273905627227,nan,0.06213543936610222,0.08410951495170593,nan
top_abs_train_scalar_heldout,24.0,0.4317443072795868,0.9235601852621343,nan,0.7514022623685338,0.4317443072795868,nan
