step,method,mean_error,covariance_error,combined_error
0,standard_generator,0.0,0.0,0.0
0,corrected_generator,0.0,0.0,0.0
1,standard_generator,0.003713998732321374,0.02846490088245293,0.032178899614774305
1,corrected_generator,0.0011488172362421238,0.002905214082384398,0.004054031318626522
2,standard_generator,0.00482327003193024,0.04519076130519222,0.05001403133712246
2,corrected_generator,0.0009697393580827441,0.0059350395791590614,0.006904778937241805
3,standard_generator,0.00541997882715924,0.05446017333162793,0.05988015215878717
3,corrected_generator,0.0018338251369716997,0.006407555477526592,0.008241380614498292
4,standard_generator,0.005617182375317376,0.058057563143160885,0.06367474551847827
4,corrected_generator,0.0014970679558471813,0.007055267462576916,0.008552335418424097
5,standard_generator,0.004773690037988956,0.05785207685009275,0.0626257668880817
5,corrected_generator,0.0015353868942857092,0.007653463388854195,0.009188850283139904
6,standard_generator,0.004481638057685093,0.05660356956294404,0.061085207620629134
6,corrected_generator,0.0016614076009731735,0.009170328583528222,0.010831736184501397
7,standard_generator,0.004122409315425287,0.053048082408752306,0.0571704917241776
7,corrected_generator,0.0011120460929460382,0.011763199036210236,0.012875245129156275
8,standard_generator,0.003737491916290272,0.05097407392501851,0.054711565841308776
8,corrected_generator,0.0008955847786395068,0.014112660209924178,0.015008244988563684
9,standard_generator,0.0035547747423898355,0.04753889824110443,0.051093672983494265
9,corrected_generator,0.0006473399661698277,0.01638070325629398,0.017028043222463807
10,standard_generator,0.003616522346552657,0.047966493266274904,0.05158301561282756
10,corrected_generator,0.0007625647378648085,0.017944522135998838,0.018707086873863646
11,standard_generator,0.0033729185644193684,0.04443332457061632,0.04780624313503569
11,corrected_generator,0.0009809352386276656,0.021077726498637858,0.022058661737265523
12,standard_generator,0.0036905168876510126,0.04390299119365929,0.047593508081310305
12,corrected_generator,0.0007810695583557126,0.02279046373361712,0.02357153329197283
13,standard_generator,0.0035589615082832885,0.04424537596995829,0.04780433747824158
13,corrected_generator,0.0011544963274596326,0.027411466752993843,0.028565963080453477
14,standard_generator,0.0029195017408450512,0.04128881527868936,0.04420831701953441
14,corrected_generator,0.0013528100897193755,0.028658631665893892,0.030011441755613266
15,standard_generator,0.002531869634440105,0.042878973243531536,0.04541084287797164
15,corrected_generator,0.0009813622277378411,0.02943769009404979,0.030419052321787633
16,standard_generator,0.0019873934358849888,0.04020573517845935,0.04219312861434434
16,corrected_generator,0.0011476422211798125,0.029170619527260463,0.030318261748440274
17,standard_generator,0.0021013191770525626,0.03880951561135481,0.040910834788407374
17,corrected_generator,0.0017722256807346905,0.03285116180107453,0.03462338748180922
18,standard_generator,0.002331903384197789,0.03643162134124302,0.038763524725440805
18,corrected_generator,0.002000843995192298,0.03559383978113632,0.037594683776328616
19,standard_generator,0.0019009578675877462,0.03427791074820537,0.036178868615793114
19,corrected_generator,0.002384585825618735,0.03562519394487183,0.03800977977049057
20,standard_generator,0.002218086160887452,0.03346701205105455,0.035685098211942
20,corrected_generator,0.0018382966684880938,0.03667974249246098,0.03851803916094908
21,standard_generator,0.0015976760345541169,0.03019633674733921,0.031794012781893324
21,corrected_generator,0.001407883690792715,0.036892411845408715,0.03830029553620143
22,standard_generator,0.0015019868625458406,0.030635537447220546,0.03213752430976639
22,corrected_generator,0.0011315729206154794,0.04035301046705723,0.041484583387672705
23,standard_generator,0.0015838845103183596,0.033773358998025346,0.035357243508343704
23,corrected_generator,0.0015203357969285432,0.04566704607840344,0.04718738187533198
24,standard_generator,0.0017464061233288721,0.03344002196815266,0.035186428091481536
24,corrected_generator,0.0017241096261191053,0.04450434104272788,0.04622845066884698
25,standard_generator,0.002369378497103061,0.033727260825176415,0.036096639322279474
25,corrected_generator,0.0015425438752785503,0.047249403577841194,0.048791947453119745
26,standard_generator,0.002316788621017099,0.03564250085598572,0.03795928947700282
26,corrected_generator,0.0013798444917514697,0.0498870095245923,0.051266854016343774
27,standard_generator,0.0022030140837437737,0.03597744271387301,0.03818045679761678
27,corrected_generator,0.0013518047360065954,0.052050522400488,0.05340232713649459
28,standard_generator,0.002657537792538369,0.03657007847690982,0.03922761626944819
28,corrected_generator,0.001072685167075465,0.05818005172900551,0.05925273689608098
29,standard_generator,0.0020177458239392077,0.038835440033995354,0.040853185857934564
29,corrected_generator,0.0012134575284523373,0.061229728181395486,0.062443185709847825
30,standard_generator,0.002198245474078689,0.03766619512015251,0.0398644405942312
30,corrected_generator,0.0015271846618076584,0.06544402730307465,0.06697121196488232
