run,step,method,cumulative_log_evidence,cumulative_log_ratio,cumulative_log_ratio_formula,step_log_evidence,step_log_ratio,formula_error
0,1,standard_langevin,17.987515891277845,-2.1678870446503336,-2.167887044650337,17.987515891277845,-2.1678870446503336,3.552713678800501e-15
0,1,modified_langevin,15.819628846627511,-2.1678870446503336,-2.167887044650337,15.819628846627511,-2.1678870446503336,3.552713678800501e-15
0,2,standard_langevin,35.043256627889704,-2.9559015104053348,-2.9559015104053357,17.055740736611863,-0.7880144657550012,2.6645352591003757e-15
0,2,modified_langevin,32.08735511748437,-2.9559015104053348,-2.9559015104053357,16.267726270856862,-0.7880144657550012,2.6645352591003757e-15
0,3,standard_langevin,52.21358063521872,-4.247301448947152,-4.247301448947159,17.17032400732901,-1.291399938541817,5.773159728050814e-15
0,3,modified_langevin,47.966279186271564,-4.247301448947152,-4.247301448947159,15.878924068787194,-1.291399938541817,5.773159728050814e-15
0,4,standard_langevin,68.72860253092972,-6.266221961615642,-6.266221961615648,16.51502189571101,-2.0189205126684904,8.881784197001252e-16
0,4,modified_langevin,62.46238056931408,-6.266221961615642,-6.266221961615648,14.496101383042518,-2.0189205126684904,8.881784197001252e-16
0,5,standard_langevin,86.18264332672712,-8.439925805092676,-8.439925805092674,17.45404079579739,-2.1737038434770337,8.881784197001252e-15
0,5,modified_langevin,77.74271752163443,-8.439925805092676,-8.439925805092674,15.280336952320356,-2.1737038434770337,8.881784197001252e-15
0,6,standard_langevin,104.5508044436723,-10.388355613730619,-10.388355613730619,18.368161116945185,-1.9484298086379432,2.220446049250313e-15
0,6,modified_langevin,94.16244882994167,-10.388355613730619,-10.388355613730619,16.41973130830724,-1.9484298086379432,2.220446049250313e-15
0,7,standard_langevin,122.47014089469334,-12.457158181453293,-12.457158181453293,17.919336451021046,-2.068802567722674,4.440892098500626e-16
0,7,modified_langevin,110.01298271324004,-12.457158181453293,-12.457158181453293,15.850533883298372,-2.068802567722674,4.440892098500626e-16
0,8,standard_langevin,139.2923748312808,-14.106049861341168,-14.106049861341175,16.822233936587462,-1.6488916798878748,6.439293542825908e-15
0,8,modified_langevin,125.18632496993962,-14.106049861341168,-14.106049861341175,15.173342256699588,-1.6488916798878748,6.439293542825908e-15
0,9,standard_langevin,153.55894119006467,-14.704834821809033,-14.704834821809044,14.266566358783885,-0.5987849604678654,2.886579864025407e-15
0,9,modified_langevin,138.85410636825563,-14.704834821809033,-14.704834821809044,13.66778139831602,-0.5987849604678654,2.886579864025407e-15
0,10,standard_langevin,170.30374822188278,-16.51683872486482,-16.51683872486483,16.744807031818123,-1.8120039030557837,1.1102230246251565e-15
0,10,modified_langevin,153.78690949701797,-16.51683872486482,-16.51683872486483,14.93280312876234,-1.8120039030557837,1.1102230246251565e-15
0,11,standard_langevin,186.54068900125176,-18.218709015302085,-18.218709015302093,16.236940779368982,-1.7018702904372667,2.220446049250313e-15
0,11,modified_langevin,168.3219799859497,-18.218709015302085,-18.218709015302093,14.535070488931716,-1.7018702904372667,2.220446049250313e-15
0,12,standard_langevin,204.64727012251763,-19.913644927526718,-19.913644927526725,18.10658112126586,-1.6949359122246328,6.661338147750939e-16
0,12,modified_langevin,184.73362519499094,-19.913644927526718,-19.913644927526725,16.41164520904123,-1.6949359122246328,6.661338147750939e-16
0,13,standard_langevin,223.0325369165991,-21.16109589215352,-21.16109589215353,18.385266794081474,-1.2474509646268004,3.1086244689504383e-15
0,13,modified_langevin,201.8714410244456,-21.16109589215352,-21.16109589215353,17.137815829454674,-1.2474509646268004,3.1086244689504383e-15
0,14,standard_langevin,240.0194325960452,-22.706597894878612,-22.706597894878623,16.98689567944609,-1.5455020027250956,2.886579864025407e-15
0,14,modified_langevin,217.3128347011666,-22.706597894878612,-22.706597894878623,15.441393676720994,-1.5455020027250956,2.886579864025407e-15
0,15,standard_langevin,256.1564596539471,-24.152561562202308,-24.152561562202315,16.137027057901868,-1.4459636673236957,1.9984014443252818e-15
0,15,modified_langevin,232.00389809174476,-24.152561562202308,-24.152561562202315,14.691063390578172,-1.4459636673236957,1.9984014443252818e-15
0,16,standard_langevin,273.0903950263529,-24.160716924623692,-24.160716924623692,16.933935372405806,-0.008155362421383927,6.217248937900877e-15
0,16,modified_langevin,248.92967810172917,-24.160716924623692,-24.160716924623692,16.925780009984422,-0.008155362421383927,6.217248937900877e-15
0,17,standard_langevin,290.9048051512473,-25.389156265742603,-25.3891562657426,17.81441012489435,-1.2284393411189107,2.6645352591003757e-15
0,17,modified_langevin,265.5156488855046,-25.389156265742603,-25.3891562657426,16.58597078377544,-1.2284393411189107,2.6645352591003757e-15
0,18,standard_langevin,305.9641949987152,-26.43853614534108,-26.43853614534107,15.059389847467937,-1.049379879598476,4.6629367034256575e-15
0,18,modified_langevin,279.52565885337407,-26.43853614534108,-26.43853614534107,14.010009967869461,-1.049379879598476,4.6629367034256575e-15
0,19,standard_langevin,323.3334302181234,-27.61358307191346,-27.613583071913453,17.369235219408203,-1.1750469265723815,6.661338147750939e-16
0,19,modified_langevin,295.7198471462099,-27.61358307191346,-27.613583071913453,16.194188292835822,-1.1750469265723815,6.661338147750939e-16
