run,step,method,cumulative_log_evidence,cumulative_log_ratio,cumulative_log_ratio_formula,step_log_evidence,step_log_ratio,formula_error
0,1,standard_langevin,29.483619136434818,-1.9418326854225079,-1.9418326854225019,29.483619136434818,-1.9418326854225079,5.995204332975845e-15
0,1,modified_langevin,27.54178645101231,-1.9418326854225079,-1.9418326854225019,27.54178645101231,-1.9418326854225079,5.995204332975845e-15
0,2,standard_langevin,57.41912267171776,-3.859137825424998,-3.8591378254249955,27.935503535282944,-1.9173051400024903,3.552713678800501e-15
0,2,modified_langevin,53.559984846292764,-3.859137825424998,-3.8591378254249955,26.018198395280454,-1.9173051400024903,3.552713678800501e-15
0,3,standard_langevin,83.9483382781317,-5.38367427988225,-5.383674279882242,26.529215606413945,-1.5245364544572517,5.551115123125783e-15
0,3,modified_langevin,78.56466399824946,-5.38367427988225,-5.383674279882242,25.004679151956694,-1.5245364544572517,5.551115123125783e-15
0,4,standard_langevin,108.46785537455094,-6.804696480302937,-6.804696480302931,24.519517096419232,-1.421022200420687,1.7763568394002505e-15
0,4,modified_langevin,101.663158894248,-6.804696480302937,-6.804696480302931,23.098494895998545,-1.421022200420687,1.7763568394002505e-15
0,5,standard_langevin,136.4962896062271,-8.586037363909774,-8.586037363909771,28.028434231676144,-1.7813408836068376,2.4424906541753444e-15
0,5,modified_langevin,127.91025224231731,-8.586037363909774,-8.586037363909771,26.247093348069306,-1.7813408836068376,2.4424906541753444e-15
0,6,standard_langevin,167.1195017236008,-9.7456998109604,-9.745699810960403,30.623212117373694,-1.159662447050625,7.549516567451064e-15
0,6,modified_langevin,157.37380191264037,-9.7456998109604,-9.745699810960403,29.46354967032307,-1.159662447050625,7.549516567451064e-15
0,7,standard_langevin,195.6364237280642,-10.909375881395103,-10.90937588139511,28.516922004463403,-1.163676070434704,3.9968028886505635e-15
0,7,modified_langevin,184.72704784666908,-10.909375881395103,-10.90937588139511,27.3532459340287,-1.163676070434704,3.9968028886505635e-15
0,8,standard_langevin,225.61830738883742,-12.444532956809528,-12.444532956809534,29.981883660773246,-1.5351570754144248,1.7763568394002505e-15
0,8,modified_langevin,213.1737744320279,-12.444532956809528,-12.444532956809534,28.44672658535882,-1.5351570754144248,1.7763568394002505e-15
0,9,standard_langevin,255.77388104622122,-13.951361343604336,-13.951361343604336,30.155573657383787,-1.5068283867948082,5.551115123125783e-15
0,9,modified_langevin,241.8225197026169,-13.951361343604336,-13.951361343604336,28.64874527058898,-1.5068283867948082,5.551115123125783e-15
0,10,standard_langevin,287.1024283296098,-15.489498418094062,-15.48949841809406,31.32854728338858,-1.5381370744897254,1.3322676295501878e-15
0,10,modified_langevin,271.6129299115157,-15.489498418094062,-15.48949841809406,29.790410208898855,-1.5381370744897254,1.3322676295501878e-15
0,11,standard_langevin,315.5024888437377,-17.001975272678283,-17.001975272678276,28.40006051412791,-1.5124768545842215,5.995204332975845e-15
0,11,modified_langevin,298.5005135710594,-17.001975272678283,-17.001975272678276,26.88758365954369,-1.5124768545842215,5.995204332975845e-15
0,12,standard_langevin,345.30851011179385,-18.45600209107116,-18.45600209107116,29.806021268056142,-1.454026818392876,6.8833827526759706e-15
0,12,modified_langevin,326.85250802072267,-18.45600209107116,-18.45600209107116,28.351994449663266,-1.454026818392876,6.8833827526759706e-15
0,13,standard_langevin,368.4297164849026,-19.146014819960243,-19.14601481996024,23.121206373108773,-0.6900127288890836,5.10702591327572e-15
0,13,modified_langevin,349.2837016649423,-19.146014819960243,-19.14601481996024,22.43119364421969,-0.6900127288890836,5.10702591327572e-15
0,14,standard_langevin,392.559722560324,-20.549159777464965,-20.549159777464965,24.130006075421402,-1.403144957504722,2.6645352591003757e-15
0,14,modified_langevin,372.010562782859,-20.549159777464965,-20.549159777464965,22.72686111791668,-1.403144957504722,2.6645352591003757e-15
0,15,standard_langevin,421.0905582606589,-21.38405471278995,-21.38405471278995,28.530835700334872,-0.8348949353249857,7.771561172376096e-16
0,15,modified_langevin,399.70650354786886,-21.38405471278995,-21.38405471278995,27.695940765009887,-0.8348949353249857,7.771561172376096e-16
0,16,standard_langevin,447.4749373666802,-22.690566743829507,-22.690566743829507,26.384379106021285,-1.3065120310395564,1.1102230246251565e-15
0,16,modified_langevin,424.7843706228506,-22.690566743829507,-22.690566743829507,25.07786707498173,-1.3065120310395564,1.1102230246251565e-15
0,17,standard_langevin,473.80728848444414,-23.398451052051186,-23.39845105205119,26.332351117763977,-0.7078843082216792,2.6645352591003757e-15
0,17,modified_langevin,450.4088374323929,-23.398451052051186,-23.39845105205119,25.624466809542298,-0.7078843082216792,2.6645352591003757e-15
0,18,standard_langevin,501.62466062800485,-24.413715219731447,-24.413715219731444,27.817372143560718,-1.015264167680261,5.995204332975845e-15
0,18,modified_langevin,477.21094540827335,-24.413715219731447,-24.413715219731444,26.802107975880457,-1.015264167680261,5.995204332975845e-15
0,19,standard_langevin,530.9995249233423,-25.356436040257346,-25.356436040257336,29.374864295337435,-0.9427208205258992,5.329070518200751e-15
0,19,modified_langevin,505.6430888830849,-25.356436040257346,-25.356436040257336,28.432143474811536,-0.9427208205258992,5.329070518200751e-15
0,20,standard_langevin,560.0620846519109,-25.845630656584074,-25.845630656584067,29.06255972856863,-0.4891946163267278,5.218048215738236e-15
0,20,modified_langevin,534.2164539953268,-25.845630656584074,-25.845630656584067,28.573365112241902,-0.4891946163267278,5.218048215738236e-15
0,21,standard_langevin,588.1470081207639,-26.333949840461905,-26.333949840461905,28.08492346885294,-0.4883191838778309,8.881784197001252e-15
0,21,modified_langevin,561.8130582803019,-26.333949840461905,-26.333949840461905,27.596604284975108,-0.4883191838778309,8.881784197001252e-15
0,22,standard_langevin,612.1349317300892,-27.148527768934287,-27.148527768934283,23.987923609325357,-0.8145779284723815,3.774758283725532e-15
0,22,modified_langevin,584.9864039611549,-27.148527768934287,-27.148527768934283,23.173345680852975,-0.8145779284723815,3.774758283725532e-15
0,23,standard_langevin,639.4622443768359,-28.204046688829127,-28.204046688829127,27.327312646746666,-1.0555189198948405,4.6629367034256575e-15
0,23,modified_langevin,611.2581976880067,-28.204046688829127,-28.204046688829127,26.271793726851826,-1.0555189198948405,4.6629367034256575e-15
0,24,standard_langevin,668.1088641314753,-29.134522207957847,-29.134522207957858,28.646619754639467,-0.93047551912872,9.2148511043888e-15
0,24,modified_langevin,638.9743419235175,-29.134522207957847,-29.134522207957858,27.716144235510747,-0.93047551912872,9.2148511043888e-15
0,25,standard_langevin,695.9382654761274,-29.551287657766416,-29.551287657766423,27.829401344652023,-0.4167654498085689,2.55351295663786e-15
0,25,modified_langevin,666.386977818361,-29.551287657766416,-29.551287657766423,27.412635894843454,-0.4167654498085689,2.55351295663786e-15
0,26,standard_langevin,723.1384696331103,-30.440554221659195,-30.440554221659198,27.200204156982867,-0.8892665638927788,4.6629367034256575e-15
0,26,modified_langevin,692.697915411451,-30.440554221659195,-30.440554221659198,26.310937593090088,-0.8892665638927788,4.6629367034256575e-15
0,27,standard_langevin,748.6667155438323,-31.348590043704508,-31.34859004370451,25.528245910722035,-0.9080358220453135,1.6653345369377348e-15
0,27,modified_langevin,717.3181255001277,-31.348590043704508,-31.34859004370451,24.62021008867672,-0.9080358220453135,1.6653345369377348e-15
0,28,standard_langevin,776.3766008047778,-32.24170939756419,-32.241709397564186,27.709885260945462,-0.8931193538596887,1.1657341758564144e-14
0,28,modified_langevin,744.1348914072136,-32.24170939756419,-32.241709397564186,26.816765907085774,-0.8931193538596887,1.1657341758564144e-14
0,29,standard_langevin,802.4045874985843,-33.122358321720924,-33.12235832172091,26.02798669380644,-0.8806489241567306,6.106226635438361e-15
0,29,modified_langevin,769.2822291768632,-33.122358321720924,-33.12235832172091,25.14733776964971,-0.8806489241567306,6.106226635438361e-15
0,30,standard_langevin,832.0712654832745,-33.9990976679244,-33.99909766792439,29.66667798469018,-0.8767393462034754,5.551115123125783e-16
0,30,modified_langevin,798.0721678153499,-33.9990976679244,-33.99909766792439,28.789938638486703,-0.8767393462034754,5.551115123125783e-16
0,31,standard_langevin,861.5613229470016,-34.19742326739839,-34.19742326739837,29.49005746372716,-0.19832559947398565,4.551914400963142e-15
