step,method,mean,variance,mean_error_to_sgd,variance_error_to_sgd
0,exact_sgd,0.0017407704710872384,0.03267347416664645,0.0,0.0
0,standard_langevin,0.0017407704710872384,0.03267347416664645,0.0,0.0
0,drift_corrected_langevin,0.0017407704710872384,0.03267347416664645,0.0,0.0
1,exact_sgd,-0.013433070764837135,0.03454008916387947,0.0,0.0
1,standard_langevin,-0.012844447373258452,0.03443367792399961,0.0005886233915786826,0.00010641123987985973
1,drift_corrected_langevin,-0.013183568360216105,0.03484534144116363,0.0002495024046210298,0.0003052522772841598
2,exact_sgd,-0.028641508488969854,0.03642896671142221,0.0,0.0
2,standard_langevin,-0.028334340074202696,0.0366219222108265,0.00030716841476715814,0.00019295549940429035
2,drift_corrected_langevin,-0.028357368153759496,0.03703418654980388,0.00028414033521035817,0.0006052198383816668
3,exact_sgd,-0.04441897671751678,0.038653955327492426,0.0,0.0
3,standard_langevin,-0.04343721278800111,0.03886913766908621,0.0009817639295156694,0.0002151823415937823
3,drift_corrected_langevin,-0.04392428567918416,0.03920749330888807,0.0004946910383326203,0.0005535379813956451
4,exact_sgd,-0.059792899335735096,0.040795994294916975,0.0,0.0
4,standard_langevin,-0.05911267130333562,0.0410067229542549,0.0006802280323994769,0.00021072865933792484
4,drift_corrected_langevin,-0.059260706585043496,0.04129394778772121,0.0005321927506915999,0.0004979534928042373
5,exact_sgd,-0.07531553738387917,0.042647903908619715,0.0,0.0
5,standard_langevin,-0.07475927841199922,0.04310587497372122,0.0005562589718799416,0.00045797106510150204
5,drift_corrected_langevin,-0.07513041484045924,0.043488773976432867,0.00018512254341992995,0.0008408700678131514
6,exact_sgd,-0.09101760864057556,0.04440516577584874,0.0,0.0
6,standard_langevin,-0.09030251854141254,0.0449151752724354,0.0007150900991630266,0.0005100094965866594
6,drift_corrected_langevin,-0.09090308645573811,0.04541540160496869,0.00011452218483745669,0.0010102358291199445
7,exact_sgd,-0.10742199252951981,0.04674282929426126,0.0,0.0
7,standard_langevin,-0.1058781477007805,0.0466820294593069,0.0015438448287393158,6.0799834954362864e-05
7,drift_corrected_langevin,-0.10643985022616691,0.04723404386413418,0.0009821423033529036,0.0004912145698729165
8,exact_sgd,-0.12284642197569995,0.04858883368288282,0.0,0.0
8,standard_langevin,-0.12120065074700986,0.04860250279076258,0.001645771228690085,1.3669107879761555e-05
8,drift_corrected_langevin,-0.12238551366680099,0.04868571339041825,0.00046090830889895795,9.687970753543412e-05
9,exact_sgd,-0.1385321325013472,0.05039096131835785,0.0,0.0
9,standard_langevin,-0.13691952306498154,0.05018814681722263,0.001612609436365653,0.0002028145011352192
9,drift_corrected_langevin,-0.13761341829240303,0.050543575963885354,0.0009187142089441547,0.0001526146455275018
10,exact_sgd,-0.15323870139555915,0.051743269239341125,0.0,0.0
10,standard_langevin,-0.1529482154075129,0.051403088109375016,0.00029048598804623516,0.0003401811299661092
10,drift_corrected_langevin,-0.152305934982754,0.05193158368399346,0.0009327664128051527,0.0001883144446523377
11,exact_sgd,-0.16771954163493794,0.05276710004885306,0.0,0.0
11,standard_langevin,-0.16823136252388327,0.05266626039992062,0.0005118208889453302,0.0001008396489324409
11,drift_corrected_langevin,-0.16708099150810407,0.053034635036063496,0.0006385501268338645,0.0002675349872104382
12,exact_sgd,-0.18304282451302242,0.0536414068155936,0.0,0.0
12,standard_langevin,-0.18260540283124668,0.05342578645940062,0.00043742168177574037,0.00021562035619298453
12,drift_corrected_langevin,-0.18180906850427594,0.05413031853635669,0.0012337560087464783,0.0004889117207630897
13,exact_sgd,-0.1964722638413238,0.054092070863741105,0.0,0.0
13,standard_langevin,-0.1962763533115451,0.05419673680190405,0.00019591052977868673,0.00010466593816294695
13,drift_corrected_langevin,-0.19653362559378673,0.054291621919769106,6.136175246293507e-05,0.00019955105602800088
14,exact_sgd,-0.2100884123072022,0.05436673812320111,0.0,0.0
14,standard_langevin,-0.2096813362607692,0.05454395608100216,0.00040707604643300255,0.0001772179578010541
14,drift_corrected_langevin,-0.20985273777124974,0.05466152249758116,0.00023567453595246812,0.00029478437438005406
15,exact_sgd,-0.22390730280918508,0.05478833859963201,0.0,0.0
15,standard_langevin,-0.2224497501146703,0.05484411994988712,0.0014575526945147799,5.578135025510744e-05
15,drift_corrected_langevin,-0.22307628820206984,0.05479130512588138,0.000831014607115238,2.966526249370549e-06
16,exact_sgd,-0.23633133097243508,0.05444407476158707,0.0,0.0
16,standard_langevin,-0.23618485387750904,0.05454588519196949,0.00014647709492604521,0.000101810430382418
16,drift_corrected_langevin,-0.2359292382715956,0.05480134601263595,0.00040209270083949034,0.0003572712510488754
17,exact_sgd,-0.24917245479818279,0.05423314929223298,0.0,0.0
17,standard_langevin,-0.2487240256743096,0.054302811518739544,0.00044842912387318967,6.966222650656162e-05
17,drift_corrected_langevin,-0.24770655873683445,0.05432231670911826,0.0014658960613483374,8.91674168852774e-05
18,exact_sgd,-0.2614711456566614,0.05395575480578633,0.0,0.0
18,standard_langevin,-0.2603801898891359,0.05407845136651062,0.0010909557675254922,0.00012269656072429191
18,drift_corrected_langevin,-0.2592489724903617,0.053948393935396834,0.00222217316629969,7.3608703894945116e-06
19,exact_sgd,-0.2729247503265757,0.05293182468265725,0.0,0.0
19,standard_langevin,-0.2714803047087446,0.053602946517214776,0.0014444456178310805,0.000671121834557524
19,drift_corrected_langevin,-0.27072285915931993,0.05321959995795371,0.002201891167255776,0.0002877752752964563
20,exact_sgd,-0.283908534567154,0.05200959592233894,0.0,0.0
20,standard_langevin,-0.28231340060214377,0.052777821738728234,0.0015951339650102092,0.0007682258163892938
20,drift_corrected_langevin,-0.2811746644227976,0.05258537419089613,0.0027338701443563873,0.0005757782685571894
21,exact_sgd,-0.29443195040543846,0.05122686272760328,0.0,0.0
21,standard_langevin,-0.2922150826452495,0.05226743730968567,0.0022168677601889786,0.0010405745820823917
21,drift_corrected_langevin,-0.29168579341359724,0.051430743163405866,0.00274615699184122,0.00020388043580258502
22,exact_sgd,-0.3036540769985348,0.05002161888968436,0.0,0.0
22,standard_langevin,-0.3022622704955757,0.05098583221381849,0.0013918065029591142,0.0009642133241341347
22,drift_corrected_langevin,-0.30137163521976745,0.05029556965769041,0.0022824417787673523,0.0002739507680060496
23,exact_sgd,-0.31330568927853125,0.048596327094116626,0.0,0.0
23,standard_langevin,-0.3111817921207553,0.049687909160076524,0.0021238971577759447,0.001091582065959898
23,drift_corrected_langevin,-0.3101480094058181,0.04927992900335958,0.0031576798727131483,0.0006836019092429507
24,exact_sgd,-0.32182654175962305,0.047291240223313775,0.0,0.0
24,standard_langevin,-0.3193161593401678,0.048506529081811155,0.002510382419455226,0.0012152888584973792
24,drift_corrected_langevin,-0.3184860656818291,0.0480549316869281,0.0033404760777939746,0.0007636914636143244
25,exact_sgd,-0.3300709253774682,0.04613363069406687,0.0,0.0
25,standard_langevin,-0.3278109755241776,0.04744021581100945,0.002259949853290588,0.0013065851169425796
25,drift_corrected_langevin,-0.3269052200318317,0.04672506066226887,0.0031657053456364825,0.0005914299682020022
26,exact_sgd,-0.3384214795147707,0.04461972656898264,0.0,0.0
26,standard_langevin,-0.33521247585987757,0.0461547950456121,0.0032090036548931278,0.0015350684766294656
26,drift_corrected_langevin,-0.33432659842213797,0.04550131873376902,0.0040948810926327295,0.0008815921647863795
27,exact_sgd,-0.34609313024611416,0.04312398110899385,0.0,0.0
27,standard_langevin,-0.34212664910436175,0.04489063946342185,0.003966481141752409,0.0017666583544280051
27,drift_corrected_langevin,-0.3411510958544574,0.044020585415239566,0.004942034391656747,0.0008966043062457185
28,exact_sgd,-0.35278334712396237,0.04166558703379646,0.0,0.0
28,standard_langevin,-0.3488085688980976,0.04365340612205458,0.0039747782258647835,0.001987819088258118
28,drift_corrected_langevin,-0.3485328279408874,0.04257685820357658,0.004250519183074952,0.0009112711697801187
29,exact_sgd,-0.359531263003313,0.04044211697647126,0.0,0.0
29,standard_langevin,-0.3554256521400686,0.04222235226869423,0.004105610863244402,0.001780235292222973
29,drift_corrected_langevin,-0.354901484692208,0.041271232572652694,0.004629778311105004,0.0008291155961814359
30,exact_sgd,-0.3660341218558162,0.03881150883077862,0.0,0.0
30,standard_langevin,-0.36180008622129434,0.04073442920780919,0.004234035634521849,0.001922920377030568
30,drift_corrected_langevin,-0.36111849369006904,0.039888012824273594,0.0049156281657471435,0.0010765039934949733
30,hist_exact_sgd,-0.891875,0.0,0.0,0.0
30,hist_standard_langevin,-0.891875,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.891875,0.0,0.0,0.0
30,hist_exact_sgd,-0.8756250000000001,0.0,0.0,0.0
30,hist_standard_langevin,-0.8756250000000001,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.8756250000000001,0.0,0.0,0.0
30,hist_exact_sgd,-0.859375,0.0,0.0,0.0
30,hist_standard_langevin,-0.859375,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.859375,0.0,0.0,0.0
30,hist_exact_sgd,-0.843125,0.0,0.0,0.0
30,hist_standard_langevin,-0.843125,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.843125,0.0,0.0,0.0
30,hist_exact_sgd,-0.826875,0.0,0.0,0.0
30,hist_standard_langevin,-0.826875,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.826875,0.0,0.0,0.0
30,hist_exact_sgd,-0.8106249999999999,0.0,0.0,0.0
30,hist_standard_langevin,-0.8106249999999999,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.8106249999999999,0.0,0.0,0.0
30,hist_exact_sgd,-0.794375,0.0,0.0,0.0
30,hist_standard_langevin,-0.794375,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.794375,0.0,0.0,0.0
30,hist_exact_sgd,-0.778125,0.0,0.0,0.0
30,hist_standard_langevin,-0.778125,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.778125,0.0,0.0,0.0
30,hist_exact_sgd,-0.7618750000000001,0.0,0.0,0.0
30,hist_standard_langevin,-0.7618750000000001,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.7618750000000001,0.0,0.0,0.0
30,hist_exact_sgd,-0.745625,0.0,0.0,0.0
30,hist_standard_langevin,-0.745625,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.745625,0.0,0.0,0.0
30,hist_exact_sgd,-0.729375,0.0,0.0,0.0
30,hist_standard_langevin,-0.729375,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.729375,0.0,0.0,0.0
30,hist_exact_sgd,-0.713125,0.0,0.0,0.0
30,hist_standard_langevin,-0.713125,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.713125,0.0,0.0,0.0
30,hist_exact_sgd,-0.696875,0.0,0.0,0.0
30,hist_standard_langevin,-0.696875,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.696875,0.0,0.0,0.0
30,hist_exact_sgd,-0.680625,0.0,0.0,0.0
30,hist_standard_langevin,-0.680625,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.680625,0.0,0.0,0.0
30,hist_exact_sgd,-0.6643749999999999,0.0,0.0,0.0
30,hist_standard_langevin,-0.6643749999999999,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.6643749999999999,0.0,0.0,0.0
30,hist_exact_sgd,-0.6481250000000001,0.0,0.0,0.0
30,hist_standard_langevin,-0.6481250000000001,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.6481250000000001,0.0,0.0,0.0
30,hist_exact_sgd,-0.631875,0.0,0.0,0.0
30,hist_standard_langevin,-0.631875,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.631875,0.0,0.0,0.0
30,hist_exact_sgd,-0.6156250000000001,0.0,0.0,0.0
30,hist_standard_langevin,-0.6156250000000001,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.6156250000000001,0.0,0.0,0.0
30,hist_exact_sgd,-0.599375,0.0,0.0,0.0
30,hist_standard_langevin,-0.599375,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.599375,0.0,0.0,0.0
30,hist_exact_sgd,-0.583125,0.02051282051282039,0.0,0.0
30,hist_standard_langevin,-0.583125,0.0,0.0,0.0
30,hist_drift_corrected_langevin,-0.583125,0.0,0.0,0.0
30,hist_exact_sgd,-0.566875,0.12307692307692403,0.0,0.0
30,hist_standard_langevin,-0.566875,0.08205128205128268,0.0,0.0
30,hist_drift_corrected_langevin,-0.566875,0.04102564102564134,0.0,0.0
30,hist_exact_sgd,-0.550625,0.5948717948717913,0.0,0.0
30,hist_standard_langevin,-0.550625,0.36923076923076703,0.0,0.0
30,hist_drift_corrected_langevin,-0.550625,0.26666666666666505,0.0,0.0
30,hist_exact_sgd,-0.534375,1.6000000000000012,0.0,0.0
30,hist_standard_langevin,-0.534375,1.4564102564102577,0.0,0.0
30,hist_drift_corrected_langevin,-0.534375,1.128205128205129,0.0,0.0
30,hist_exact_sgd,-0.518125,3.056410256410259,0.0,0.0
30,hist_standard_langevin,-0.518125,2.70769230769231,0.0,0.0
30,hist_drift_corrected_langevin,-0.518125,2.31794871794872,0.0,0.0
30,hist_exact_sgd,-0.5018750000000001,5.517948717948722,0.0,0.0
30,hist_standard_langevin,-0.5018750000000001,4.841025641025645,0.0,0.0
30,hist_drift_corrected_langevin,-0.5018750000000001,5.825641025641031,0.0,0.0
30,hist_exact_sgd,-0.48562500000000003,6.789743589743596,0.0,0.0
30,hist_standard_langevin,-0.48562500000000003,6.953846153846159,0.0,0.0
30,hist_drift_corrected_langevin,-0.48562500000000003,7.261538461538467,0.0,0.0
30,hist_exact_sgd,-0.469375,7.487179487179468,0.0,0.0
30,hist_standard_langevin,-0.469375,8.307692307692287,0.0,0.0
30,hist_drift_corrected_langevin,-0.469375,8.348717948717928,0.0,0.0
30,hist_exact_sgd,-0.453125,6.235897435897441,0.0,0.0
30,hist_standard_langevin,-0.453125,7.323076923076929,0.0,0.0
30,hist_drift_corrected_langevin,-0.453125,6.851282051282057,0.0,0.0
30,hist_exact_sgd,-0.436875,5.538461538461543,0.0,0.0
30,hist_standard_langevin,-0.436875,4.923076923076928,0.0,0.0
