alpha,seed,method,final_train_loss,final_test_loss,final_train_accuracy,final_test_accuracy,generalization_gap,final_displacement_norm,diverged
0.0,53,alpha=0,0.14644381403923035,0.4886813908815384,0.958984375,0.853,0.34223757684230804,9.566156387329102,False
0.0,153,alpha=0,0.14644381403923035,0.4886813908815384,0.958984375,0.853,0.34223757684230804,9.566156387329102,False
0.1,53,alpha=0.1,0.1365104764699936,0.49351851642131805,0.958984375,0.85,0.35700803995132446,9.522481918334961,False
0.1,153,alpha=0.1,0.11702828109264374,0.502367377281189,0.9658203125,0.85,0.3853390961885452,9.6329927444458,False
0.5,53,alpha=0.5,0.11961337924003601,0.5383475422859192,0.9638671875,0.846,0.4187341630458832,10.147772789001465,False
0.5,153,alpha=0.5,0.11606099456548691,0.5197267830371857,0.9677734375,0.851,0.40366578847169876,9.848384857177734,False
1.0,53,alpha=1,0.23512360453605652,0.5243700444698334,0.9248046875,0.833,0.28924643993377686,12.010016441345215,False
1.0,153,alpha=1,1.4399195909500122,1.536754846572876,0.56640625,0.499,0.09683525562286377,11.98348331451416,False
