eta,step,method,error,error_std
0.02,0.02,standard_generator,0.00038844383044236725,0.00033442396334695156
0.02,0.02,corrected_generator,6.209056394698759e-06,1.0886786556698766e-05
0.05,0.05,standard_generator,0.0023740181802265076,0.0020100857438047656
0.05,0.05,corrected_generator,0.00012998863137847282,0.00019059633415216
0.1,0.1,standard_generator,0.00916203691595153,0.007561610977083453
0.1,0.1,corrected_generator,0.0010750400008161115,0.0014537977667702696
0.2,0.2,standard_generator,0.03428036234000145,0.027064698517458
0.2,0.2,corrected_generator,0.007991438636699813,0.009737432356213863
