method,step,wasserstein,histogram_kl
gaussian_one_step,1,0.012881722265524564,2.802312380301521
poisson_one_step,1,0.0037655042977954253,16.370264212004123
gaussian_multi_step,10,0.012055179337741091,1.6400083346116359
poisson_multi_step,10,0.018568030400308348,30.23435304852766
