step,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high
0,baseline_sgd,train,2.331862449645996,0.0,2.331862449645996,2.331862449645996
0,baseline_sgd,test,2.3169381618499756,0.0,2.3169381618499756,2.3169381618499756
10,baseline_sgd,train,2.327638268470764,0.0012025635549024853,2.3268049344431745,2.328471602498354
10,baseline_sgd,test,2.3145735561847687,0.0006562040701723914,2.314118829963865,2.3150282824056725
20,baseline_sgd,train,2.3234631717205048,0.0012995904254012526,2.3225626015019896,2.32436374193902
20,baseline_sgd,test,2.3123706579208374,0.0007681688791838785,2.3118383440457415,2.3129029717959333
30,baseline_sgd,train,2.3195321559906006,0.0013155270425612739,2.318620542259824,2.3204437697213773
30,baseline_sgd,test,2.30997771024704,0.0009537500687724369,2.3093167951686775,2.310638625325402
40,baseline_sgd,train,2.31595042347908,0.0008941612781415443,2.3153308013258966,2.3165700456322638
40,baseline_sgd,test,2.30797478556633,0.0007648679554605501,2.307444759114672,2.308504812017988
50,baseline_sgd,train,2.3123733401298523,0.0009281579487606884,2.311730159485863,2.3130165207738416
50,baseline_sgd,test,2.306072324514389,0.0005084827045789656,2.3057199639772357,2.3064246850515424
60,baseline_sgd,train,2.3092901408672333,0.001195359614018321,2.308461798915985,2.3101184828184818
60,baseline_sgd,test,2.304507613182068,0.00042486372371308207,2.3042131976423526,2.304802028721783
70,baseline_sgd,train,2.3061387836933136,0.0012112241978833149,2.3052994481463305,2.3069781192402967
70,baseline_sgd,test,2.3029444813728333,0.00047078461548669527,2.302618244278626,2.3032707184670405
80,baseline_sgd,train,2.3033428490161896,0.0010261062202233172,2.3026317936829828,2.3040539043493964
80,baseline_sgd,test,2.301665633916855,0.0007156890049324759,2.3011696867392186,2.302161581094491
0,suppress_flat,train,2.331862449645996,0.0,2.331862449645996,2.331862449645996
0,suppress_flat,test,2.3169381618499756,0.0,2.3169381618499756,2.3169381618499756
10,suppress_flat,train,2.327638268470764,0.0012025635549024853,2.3268049344431745,2.328471602498354
10,suppress_flat,test,2.3145735561847687,0.0006562040701723914,2.314118829963865,2.3150282824056725
20,suppress_flat,train,2.3234631717205048,0.0012995904254012526,2.3225626015019896,2.32436374193902
20,suppress_flat,test,2.3123706579208374,0.0007681688791838785,2.3118383440457415,2.3129029717959333
30,suppress_flat,train,2.3195321559906006,0.0013155270425612739,2.318620542259824,2.3204437697213773
30,suppress_flat,test,2.30997771024704,0.0009537500687724369,2.3093167951686775,2.310638625325402
40,suppress_flat,train,2.31595042347908,0.0008941612781415443,2.3153308013258966,2.3165700456322638
40,suppress_flat,test,2.30797478556633,0.0007648679554605501,2.307444759114672,2.308504812017988
50,suppress_flat,train,2.3123732805252075,0.0009282321135730943,2.3117300484876253,2.3130165125627897
50,suppress_flat,test,2.306072324514389,0.0005084827045789656,2.3057199639772357,2.3064246850515424
60,suppress_flat,train,2.3092901408672333,0.001195359614018321,2.308461798915985,2.3101184828184818
60,suppress_flat,test,2.304507613182068,0.00042486372371308207,2.3042131976423526,2.304802028721783
70,suppress_flat,train,2.306138753890991,0.0012112642126403616,2.305299390615196,2.3069781171667865
70,suppress_flat,test,2.3029444813728333,0.00047078461548669527,2.302618244278626,2.3032707184670405
80,suppress_flat,train,2.3033428490161896,0.0010261062202233172,2.3026317936829828,2.3040539043493964
80,suppress_flat,test,2.301665633916855,0.0007156890049324759,2.3011696867392186,2.302161581094491
0,suppress_theory_high_variance,train,2.331862449645996,0.0,2.331862449645996,2.331862449645996
0,suppress_theory_high_variance,test,2.3169381618499756,0.0,2.3169381618499756,2.3169381618499756
10,suppress_theory_high_variance,train,2.3276382982730865,0.0012025398186883995,2.3268049806938538,2.3284716158523193
10,suppress_theory_high_variance,test,2.3145737051963806,0.000656092640585805,2.314119056192241,2.3150283542005203
20,suppress_theory_high_variance,train,2.3234631717205048,0.0012995904254012526,2.3225626015019896,2.32436374193902
20,suppress_theory_high_variance,test,2.312370717525482,0.0007681588020946352,2.311838410633453,2.3129030244175115
30,suppress_theory_high_variance,train,2.3195322453975677,0.0013156086996433506,2.31862057508132,2.3204439157138155
30,suppress_theory_high_variance,test,2.3099777698516846,0.0009537756644620293,2.3093168370364143,2.310638702666955
40,suppress_theory_high_variance,train,2.3159503042697906,0.0008941471696372104,2.315330691893302,2.316569916646279
40,suppress_theory_high_variance,test,2.30797478556633,0.0007648679554605501,2.307444759114672,2.308504812017988
50,suppress_theory_high_variance,train,2.3123733401298523,0.0009280886450497486,2.3117302075108843,2.3130164727488203
50,suppress_theory_high_variance,test,2.306072384119034,0.0005084890127050755,2.3057200192105722,2.3064247490274954
60,suppress_theory_high_variance,train,2.309290111064911,0.0011953458051942394,2.3084617786826893,2.3101184434471325
60,suppress_theory_high_variance,test,2.304507553577423,0.0004248591508648985,2.30421314120653,2.3048019659483163
70,suppress_theory_high_variance,train,2.306138753890991,0.001211175138122179,2.305299452340688,2.3069780554412946
70,suppress_theory_high_variance,test,2.3029444813728333,0.00047076041474244706,2.3026182610488863,2.30327070169678
80,suppress_theory_high_variance,train,2.303342878818512,0.0010260496447604378,2.3026318626901006,2.3040538949469234
80,suppress_theory_high_variance,test,2.301665812730789,0.0007156636169287975,2.301169883146142,2.3021617423154366
0,suppress_sharp,train,2.331862449645996,0.0,2.331862449645996,2.331862449645996
0,suppress_sharp,test,2.3169381618499756,0.0,2.3169381618499756,2.3169381618499756
10,suppress_sharp,train,2.3299801349639893,0.0004445494726979823,2.329672077896206,2.3302881920317726
10,suppress_sharp,test,2.3159901797771454,0.0005678071690182205,2.315596709483519,2.316383650070772
20,suppress_sharp,train,2.328001946210861,0.00043398797171467464,2.3277012078898633,2.328302684531859
20,suppress_sharp,test,2.315028101205826,0.0006461793354261042,2.314580321771682,2.3154758806399696
30,suppress_sharp,train,2.3260984122753143,0.0004514519752514341,2.3257855720172955,2.326411252533333
30,suppress_sharp,test,2.3137311041355133,0.0007619035762071771,2.3132031318938737,2.314259076377153
40,suppress_sharp,train,2.324144184589386,0.0003493522204365901,2.3239020958517744,2.3243862733269975
40,suppress_sharp,test,2.3126171231269836,0.0006874923974362849,2.3121407152014672,2.3130935310525
50,suppress_sharp,train,2.322243422269821,0.00039694025696894567,2.321968356705341,2.3225184878343015
50,suppress_sharp,test,2.311551034450531,0.0006803185214862346,2.3110795977674194,2.3120224711336426
60,suppress_sharp,train,2.3205543756484985,0.0005667261137408124,2.320161654487959,2.320947096809038
60,suppress_sharp,test,2.310582786798477,0.0006289187467699104,2.310146968342034,2.31101860525492
70,suppress_sharp,train,2.3186872005462646,0.0006304992735089894,2.31825028684067,2.3191241142518595
70,suppress_sharp,test,2.3095563352108,0.0005580921407718124,2.3091695970882786,2.3099430733333217
80,suppress_sharp,train,2.316967874765396,0.0006670626689352575,2.3165056239194493,2.317430125611343
80,suppress_sharp,test,2.3086843490600586,0.0008218217031116712,2.308114855674846,2.3092538424452713
