run,flat_displacement,sharp_displacement,total_displacement,final_train_loss,final_test_loss,generalization_gap
0,0.0015300504164770246,0.27324631810188293,3.7262213230133057,1.0033535957336426,1.1464421153068542,0.14308851957321167
1,0.0013180786045268178,0.2833333909511566,3.716893196105957,1.0042028427124023,1.1465767621994019,0.1423739194869995
2,0.0014597412664443254,0.2614251971244812,3.7636427879333496,1.0000685453414917,1.1366438269615173,0.13657528162002563
3,0.0012272357707843184,0.25502052903175354,3.7520875930786133,0.9993806481361389,1.1380731463432312,0.13869249820709229
4,0.0011268913513049483,0.2830716371536255,3.7297751903533936,1.003343105316162,1.1374658942222595,0.1341227889060974
5,0.0010556199122220278,0.2867186665534973,3.74153208732605,1.000632882118225,1.146604597568512,0.14597171545028687
6,0.001268039341084659,0.3033306300640106,3.7449471950531006,1.0038608312606812,1.1523151397705078,0.14845430850982666
7,0.0012656477047130466,0.28327691555023193,3.747227430343628,0.9992663860321045,1.1426663398742676,0.14339995384216309
8,0.001163074979558587,0.2914940118789673,3.730515718460083,1.0035547018051147,1.145383596420288,0.14182889461517334
9,0.0013392725959420204,0.26214292645454407,3.7524170875549316,1.0015228986740112,1.1462631225585938,0.14474022388458252
10,0.0013442483032122254,0.28335097432136536,3.732180595397949,1.0024714469909668,1.1428890228271484,0.14041757583618164
11,0.0017141335410997272,0.2635846436023712,3.7337400913238525,1.0004889965057373,1.1415361166000366,0.14104712009429932
12,0.0012590953847393394,0.2503029406070709,3.733355760574341,1.0036205053329468,1.1428956985473633,0.1392751932144165
13,0.0014168700436130166,0.26691848039627075,3.7550952434539795,1.000200867652893,1.1401642560958862,0.13996338844299316
14,0.0013292209478095174,0.2776288390159607,3.73276686668396,1.0024467706680298,1.1472423672676086,0.14479559659957886
15,0.0010498343035578728,0.29509180784225464,3.74112868309021,1.0033320188522339,1.1377770900726318,0.13444507122039795
16,0.0011627456406131387,0.26358306407928467,3.713165283203125,1.0027077198028564,1.144682228565216,0.14197450876235962
17,0.001224960433319211,0.23014186322689056,3.7530322074890137,1.002724528312683,1.1389023661613464,0.13617783784866333
18,0.0012254118919372559,0.2704744040966034,3.7497265338897705,1.0023266077041626,1.1471511721611023,0.1448245644569397
19,0.0013409454841166735,0.2431282103061676,3.731436252593994,1.0049068927764893,1.1469570398330688,0.1420501470565796
20,0.0012862479779869318,0.2754853665828705,3.738882303237915,1.0018914937973022,1.145036518573761,0.14314502477645874
21,0.001436325372196734,0.27036792039871216,3.746387004852295,0.998870313167572,1.1408609747886658,0.14199066162109375
22,0.0011430063750594854,0.2562010586261749,3.7472190856933594,1.000962734222412,1.1469472646713257,0.14598453044891357
23,0.0013491961872205138,0.2717069983482361,3.7460858821868896,1.0000544786453247,1.1413568258285522,0.14130234718322754
24,0.0011874826159328222,0.27944353222846985,3.7670743465423584,0.9995051622390747,1.1441680192947388,0.14466285705566406
25,0.0013667948078364134,0.26060253381729126,3.7563581466674805,1.0000094175338745,1.135352909564972,0.1353434920310974
26,0.001389657729305327,0.23652198910713196,3.7349517345428467,1.0035076141357422,1.1464827060699463,0.1429750919342041
27,0.0012681384105235338,0.2515579164028168,3.7606143951416016,0.9983899593353271,1.1398643851280212,0.1414744257926941
28,0.0011451889295130968,0.27076685428619385,3.758382797241211,0.9978122711181641,1.1415185332298279,0.14370626211166382
29,0.0012040783185511827,0.24244324862957,3.752530813217163,1.000839114189148,1.1413468718528748,0.1405077576637268
30,0.0010913822334259748,0.2768510580062866,3.7319819927215576,1.0026723146438599,1.1470248699188232,0.14435255527496338
31,0.0011757874162867665,0.2383117377758026,3.7295584678649902,1.0040885210037231,1.135919213294983,0.13183069229125977
32,0.0010863300412893295,0.2835313379764557,3.726877212524414,1.0034079551696777,1.1420074701309204,0.13859951496124268
