alpha,method,n_seeds,train_loss_mean,train_loss_std,train_loss_ci95_low,train_loss_ci95_high,test_loss_mean,test_loss_std,test_loss_ci95_low,test_loss_ci95_high,train_accuracy_mean,train_accuracy_std,train_accuracy_ci95_low,train_accuracy_ci95_high,test_accuracy_mean,test_accuracy_std,test_accuracy_ci95_low,test_accuracy_ci95_high,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95_low,generalization_gap_ci95_high,displacement_norm_mean,displacement_norm_std,displacement_norm_ci95_low,displacement_norm_ci95_high,parameter_variance_trace,diverged_count,normalized_variance,normalized_displacement
0.0,alpha=0,2,2.281531572341919,0.0,2.281531572341919,2.281531572341919,2.3025219440460205,0.0,2.3025219440460205,2.3025219440460205,0.13671875,0.0,0.13671875,0.13671875,0.13671875,0.0,0.13671875,0.13671875,0.020990371704101562,0.0,0.020990371704101562,0.020990371704101562,0.1724235564470291,0.0,0.1724235564470291,0.1724235564470291,0.0,0,0.0,1.0322800364554041
0.1,alpha=0.1,2,2.2815816402435303,2.697398304697218e-05,2.281544256210327,2.2816190242767336,2.3026922941207886,6.052287446164383e-05,2.302608413696289,2.302776174545288,0.13671875,0.0,0.13671875,0.13671875,0.13671875,0.0,0.13671875,0.13671875,0.0211106538772583,3.354889141467165e-05,0.021064157485961913,0.02115715026855469,0.1694454476237297,0.0019621992159853103,0.1667259782552719,0.1721649169921875,4.367569510658352e-05,0,0.00993703012115011,1.0144504408477524
0.5,alpha=0.5,2,2.281901478767395,0.00018325449732536724,2.2816475009918213,2.2821554565429687,2.3034857511520386,0.0003467842695476361,2.303005132675171,2.303966369628906,0.13671875,0.0,0.13671875,0.13671875,0.13671875,0.0,0.13671875,0.13671875,0.021584272384643555,0.00016352977222226884,0.021357631683349608,0.0218109130859375,0.16270818561315536,0.007744219996073585,0.15197524428367615,0.17344112694263458,0.0010949146931202192,0,0.24911338581043913,0.9741152266972317
1.0,alpha=1,2,2.282565712928772,0.00048603745702762997,2.281892099380493,2.2832393264770507,2.304728388786316,0.0008043304569819017,2.30361364364624,2.3058431339263916,0.13671875,0.0,0.13671875,0.13671875,0.13671875,0.0,0.13671875,0.13671875,0.022162675857543945,0.00031829299995427175,0.02172154426574707,0.02260380744934082,0.16703176498413086,0.009016686036178116,0.15453527569770814,0.17952825427055358,0.0043952463235090306,0,1.0,1.0
