method,step,mean_error,covariance_error,negative_log_likelihood
A_standard,0,0.04091814381627217,0.1929040094469116,-8.693954993898096
B_corrected_drift_only,0,0.007721336948268362,0.21606534525055904,-9.04955854206467
C_wrong_raw_covariance,0,0.041461686869373474,10.139450899678668,-7.960075824889933
D_full_corrected,0,0.007547329012338317,0.21706649675940526,-9.048868560599338
