step,method,covariance_trace,relative_frobenius_error,mean_direction_variance,mean_projection,std_projection,ci95_low,ci95_high,mean_path_error_to_sgd
0,empirical_sgd,6.026698124425554,0.0,1.004449687404259,1.004449687404259,0.0,0.0,0.0,0.0
0,standard_fp,6.026698124425554,0.0,1.004449687404259,1.004449687404259,0.0,0.0,0.0,0.0
0,discrete_fp,6.026698124425554,0.0,1.004449687404259,1.004449687404259,0.0,0.0,0.0,0.0
2,empirical_sgd,2.3797931219125155,0.0,0.39663218698541924,0.39663218698541924,0.0,0.0,0.0,0.0
2,standard_fp,2.0475275800919377,0.13601972279325472,0.3412545966819896,0.3412545966819896,0.0,0.0,0.0,0.13601972279325472
2,discrete_fp,2.380253890045407,0.00593970845608784,0.39670898167423446,0.39670898167423446,0.0,0.0,0.0,0.00593970845608784
4,empirical_sgd,1.3658638954258953,0.0,0.22764398257098253,0.22764398257098253,0.0,0.0,0.0,0.0
4,standard_fp,1.2260239783222242,0.07875598110603081,0.2043373297203707,0.2043373297203707,0.0,0.0,0.0,0.07875598110603081
4,discrete_fp,1.3671743092994784,0.007441412138270162,0.2278623848832464,0.2278623848832464,0.0,0.0,0.0,0.007441412138270162
6,empirical_sgd,0.9499450269070293,0.0,0.15832417115117156,0.15832417115117156,0.0,0.0,0.0,0.0
6,standard_fp,0.8719744034376601,0.058604351173719926,0.14532906723961,0.14532906723961,0.0,0.0,0.0,0.058604351173719926
6,discrete_fp,0.9475360847173483,0.00881859569273709,0.1579226807862247,0.1579226807862247,0.0,0.0,0.0,0.00881859569273709
8,empirical_sgd,0.7233224423004785,0.0,0.12055374038341309,0.12055374038341309,0.0,0.0,0.0,0.0
8,standard_fp,0.6732391939428648,0.04817155421423545,0.1122065323238108,0.1122065323238108,0.0,0.0,0.0,0.04817155421423545
8,discrete_fp,0.722053257151809,0.005187398491819309,0.1203422095253015,0.1203422095253015,0.0,0.0,0.0,0.005187398491819309
10,empirical_sgd,0.5819876849058434,0.0,0.09699794748430723,0.09699794748430723,0.0,0.0,0.0,0.0
10,standard_fp,0.5452045824588132,0.04221231706853613,0.0908674304098022,0.0908674304098022,0.0,0.0,0.0,0.04221231706853613
10,discrete_fp,0.5809056963903225,0.006021545728697224,0.09681761606505375,0.09681761606505375,0.0,0.0,0.0,0.006021545728697224
12,empirical_sgd,0.48427452409731414,0.0,0.08071242068288569,0.08071242068288569,0.0,0.0,0.0,0.0
12,standard_fp,0.4555573375856041,0.03967159883081555,0.07592622293093403,0.07592622293093403,0.0,0.0,0.0,0.03967159883081555
12,discrete_fp,0.4839517345290893,0.006858408862740521,0.08065862242151488,0.08065862242151488,0.0,0.0,0.0,0.006858408862740521
14,empirical_sgd,0.41328565420262575,0.0,0.06888094236710429,0.06888094236710429,0.0,0.0,0.0,0.0
14,standard_fp,0.38931239200103523,0.03814822255841343,0.0648853986668392,0.0648853986668392,0.0,0.0,0.0,0.03814822255841343
14,discrete_fp,0.4132495124231775,0.0058297990675226005,0.06887491873719624,0.06887491873719624,0.0,0.0,0.0,0.0058297990675226005
16,empirical_sgd,0.35924248028364264,0.0,0.05987374671394044,0.05987374671394044,0.0,0.0,0.0,0.0
16,standard_fp,0.33856098385441447,0.038837871083556054,0.05642683064240241,0.05642683064240241,0.0,0.0,0.0,0.038837871083556054
16,discrete_fp,0.3595822388313611,0.009518238236590882,0.05993037313856018,0.05993037313856018,0.0,0.0,0.0,0.009518238236590882
18,empirical_sgd,0.3185046115300568,0.0,0.05308410192167614,0.05308410192167614,0.0,0.0,0.0,0.0
18,standard_fp,0.29871197324211746,0.041654731330280644,0.049785328873686245,0.049785328873686245,0.0,0.0,0.0,0.041654731330280644
18,discrete_fp,0.3177099666389006,0.0055489377563573555,0.05295166110648344,0.05295166110648344,0.0,0.0,0.0,0.0055489377563573555
