method,calibration,mean_update_error,covariance_error,covariance_trace,sgd_covariance_trace,noise_to_drift_ratio
standard_langevin,1.0,0.6021553051006283,0.7897527223379495,0.0002858326528763404,0.0003751871408894658,1.496790952019571
modified_langevin,1.0,0.7768677723624848,0.6778457567050307,0.00036038025941031163,0.0003751871408894658,1.8001064150554806
