step,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high
0,baseline_sgd,train,2.2968997955322266,0.0,2.2968997955322266,2.2968997955322266
0,baseline_sgd,test,2.287670850753784,0.0,2.287670850753784,2.287670850753784
50,baseline_sgd,train,2.2720844745635986,0.0007172079249255736,2.2716786759788485,2.2724902731483487
50,baseline_sgd,test,2.272412578264872,0.0012200102903797431,2.2717222924606983,2.273102864069046
100,baseline_sgd,train,2.2462019324302673,0.000885825456750803,2.2457007294956752,2.2467031353648594
100,baseline_sgd,test,2.254191776116689,0.0014573511633324849,2.2533672020719644,2.255016350161414
150,baseline_sgd,train,2.20573357741038,0.001716870076960464,2.204762166717305,2.206704988103455
150,baseline_sgd,test,2.223962048689524,0.002329365928776876,2.2226440858444243,2.225280011534624
200,baseline_sgd,train,2.1415207982063293,0.003350803712362462,2.1396249025295018,2.143416693883157
200,baseline_sgd,test,2.172499159971873,0.0031542991882714216,2.170714447196129,2.174283872747617
250,baseline_sgd,train,2.046377182006836,0.00479197448810197,2.0436658672013936,2.0490884968122782
250,baseline_sgd,test,2.0946022073427835,0.004015496119700252,2.0923302265324573,2.0968741881531097
300,baseline_sgd,train,1.9258317947387695,0.006528350906111458,1.922138032488822,1.929525556988717
300,baseline_sgd,test,1.9935893217722576,0.006290896884781217,1.9900299117825824,1.9971487317619327
0,amplify_theory_high_variance,train,2.2968997955322266,0.0,2.2968997955322266,2.2968997955322266
0,amplify_theory_high_variance,test,2.287670850753784,0.0,2.287670850753784,2.287670850753784
50,amplify_theory_high_variance,train,2.2720845143000283,0.0007172017849191255,2.2716787191893135,2.272490309410743
50,amplify_theory_high_variance,test,2.272412637869517,0.0012201481484269015,2.2717222740648104,2.2731030016742233
100,amplify_theory_high_variance,train,2.246201972166697,0.0008858166906966276,2.2457007741919672,2.246703170141427
100,amplify_theory_high_variance,test,2.254191815853119,0.0014572212355370778,2.253367315321965,2.255016316384273
150,amplify_theory_high_variance,train,2.205733676751455,0.0017167422231454152,2.204762338398486,2.206705015104424
150,amplify_theory_high_variance,test,2.223962187767029,0.002329322386929983,2.222644249558048,2.2252801259760098
200,amplify_theory_high_variance,train,2.1415207783381143,0.003350750951558046,2.139624912513522,2.1434166441627065
200,amplify_theory_high_variance,test,2.172499199708303,0.0031543127661971615,2.1707144792501243,2.1742839201664816
250,amplify_theory_high_variance,train,2.0463773210843406,0.004791914525816125,2.043666040205755,2.049088601962926
250,amplify_theory_high_variance,test,2.0946026047070823,0.004015046261421633,2.0923308784280383,2.096874330986126
300,amplify_theory_high_variance,train,1.9258319437503815,0.006528561134641903,1.9221380625524451,1.9295258249483178
300,amplify_theory_high_variance,test,1.9935896495978038,0.006291187385703568,1.9900300752417586,1.997149223953849
0,amplify_random,train,2.2968997955322266,0.0,2.2968997955322266,2.2968997955322266
0,amplify_random,test,2.287670850753784,0.0,2.287670850753784,2.287670850753784
50,amplify_random,train,2.272483686606089,0.000933445120473706,2.2719555403103415,2.2730118329018367
50,amplify_random,test,2.2723511258761087,0.002182092450708613,2.2711164908455714,2.273585760906646
100,amplify_random,train,2.2463464538256326,0.0008808456249477362,2.245848068496128,2.246844839155137
100,amplify_random,test,2.2540069619814553,0.0017564757153070213,2.253013142288939,2.2550007816739717
150,amplify_random,train,2.2062710324923196,0.0020217924682842258,2.205127095715026,2.207414969269613
150,amplify_random,test,2.2244728604952493,0.004446347559964522,2.221957102533806,2.2269886184566925
200,amplify_random,train,2.141619543234507,0.0032951839454220836,2.1397551174033467,2.1434839690656675
200,amplify_random,test,2.1721906264623008,0.0035642842201305037,2.1701739428174194,2.174207310107182
250,amplify_random,train,2.0464746952056885,0.004279796741800211,2.0440531722407522,2.0488962181706247
250,amplify_random,test,2.0941585302352905,0.003902439064107162,2.091950517476015,2.096366542994566
300,amplify_random,train,1.925821324189504,0.00634526463176138,1.9222311527511415,1.9294114956278663
300,amplify_random,test,1.9934974412123363,0.0067244296688120184,1.9896927369584896,1.997302145466183
0,amplify_sharp,train,2.2968997955322266,0.0,2.2968997955322266,2.2968997955322266
0,amplify_sharp,test,2.287670850753784,0.0,2.287670850753784,2.287670850753784
50,amplify_sharp,train,2.2749072511990867,0.002412051041175824,2.2735425048475233,2.27627199755065
50,amplify_sharp,test,2.274109880129496,0.0024984338381860726,2.2726962581094474,2.275523502149545
100,amplify_sharp,train,2.2500113248825073,0.003058496386693472,2.2482808176445777,2.251741832120437
100,amplify_sharp,test,2.256730099519094,0.004108763627612988,2.254405347648384,2.259054851389804
150,amplify_sharp,train,2.2116676966349282,0.003980662530773385,2.209415424782907,2.2139199684869495
150,amplify_sharp,test,2.229438304901123,0.008243022656670087,2.224774375778354,2.2341022340238923
200,amplify_sharp,train,2.146612028280894,0.0035132639997071573,2.144624212043248,2.1485998445185395
200,amplify_sharp,test,2.176760752995809,0.0058720162685137415,2.173438347025963,2.180083158965655
250,amplify_sharp,train,2.054909368356069,0.005723908056761664,2.051670762495829,2.0581479742163094
250,amplify_sharp,test,2.102033813794454,0.007352323083625572,2.0978738453971837,2.1061937821917245
300,amplify_sharp,train,1.9373121062914531,0.0077349430933535785,1.9329356502438813,1.941688562339025
300,amplify_sharp,test,2.0039279758930206,0.009615621285408844,1.9984874259862155,2.0093685257998257
