step,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high
0,baseline_sgd,train,2.2904651165008545,0.0,2.2904651165008545,2.2904651165008545
0,baseline_sgd,test,2.2999489307403564,0.0,2.2999489307403564,2.2999489307403564
50,baseline_sgd,train,2.268789986769358,0.0006420569996981324,2.2684267088233794,2.269153264715337
50,baseline_sgd,test,2.27681428194046,0.0016973624405528724,2.275853908731734,2.2777746551491864
100,baseline_sgd,train,2.2386562824249268,0.001274816803454066,2.2379349869167777,2.239377577933076
100,baseline_sgd,test,2.2495531837145486,0.0018639603450950604,2.248498548867689,2.250607818561408
150,baseline_sgd,train,2.1843103965123496,0.0023188407080654864,2.1829983888714803,2.185622404153219
150,baseline_sgd,test,2.2043940226236978,0.0017980157428424102,2.203376699448023,2.2054113457993725
200,baseline_sgd,train,2.095053772131602,0.00401640747954539,2.0927812756709008,2.097326268592303
200,baseline_sgd,test,2.129372477531433,0.003284138529271005,2.127514301232781,2.131230653830085
250,baseline_sgd,train,1.968510776758194,0.004621783654396674,1.965895756481932,1.971125797034456
250,baseline_sgd,test,2.021952231725057,0.00442225160954772,2.0194501073310045,2.0244543561191097
300,baseline_sgd,train,1.8108194867769878,0.005671756415512834,1.807610388485579,1.8140285850683966
300,baseline_sgd,test,1.8873537679513295,0.005881367065399877,1.884026071270086,1.890681464632573
0,denoise_theory_high_variance,train,2.2904651165008545,0.0,2.2904651165008545,2.2904651165008545
0,denoise_theory_high_variance,test,2.2999489307403564,0.0,2.2999489307403564,2.2999489307403564
50,denoise_theory_high_variance,train,2.2687900066375732,0.0006420308620595696,2.268426743480356,2.2691532697947907
50,denoise_theory_high_variance,test,2.276814262072245,0.0016973944216107238,2.275853870768532,2.277774653375958
100,denoise_theory_high_variance,train,2.238656302293142,0.0012748302915316305,2.2379349991533948,2.239377605432889
100,denoise_theory_high_variance,test,2.249553143978119,0.0018641517774227478,2.2484984008182236,2.250607887138014
150,denoise_theory_high_variance,train,2.1843104163805642,0.0023188261772320693,2.1829984169612877,2.1856224157998407
150,denoise_theory_high_variance,test,2.2043939232826233,0.001798401958443597,2.203376381584901,2.2054114649803456
200,denoise_theory_high_variance,train,2.095053712526957,0.00401633557800485,2.0927812567483826,2.0973261683055315
200,denoise_theory_high_variance,test,2.129372298717499,0.003284315463700641,2.127514022308769,2.1312305751262284
250,denoise_theory_high_variance,train,1.9685106972853343,0.00462181957839589,1.9658956566831562,1.9711257378875124
250,denoise_theory_high_variance,test,2.021951993306478,0.004422610146712494,2.019449666050927,2.024454320562029
300,denoise_theory_high_variance,train,1.8108195463816326,0.0056717924393621735,1.8076104277078122,1.814028665055453
300,denoise_theory_high_variance,test,1.8873535494009654,0.005881628315558843,1.8840257049035294,1.8906813938984015
0,denoise_random,train,2.2904651165008545,0.0,2.2904651165008545,2.2904651165008545
0,denoise_random,test,2.2999489307403564,0.0,2.2999489307403564,2.2999489307403564
50,denoise_random,train,2.2687865694363913,0.0006480445558771661,2.2684199037115844,2.2691532351611983
50,denoise_random,test,2.276809255282084,0.0017020022099487177,2.27584625687669,2.277772253687478
100,denoise_random,train,2.2386504809061685,0.0012704295592015468,2.2379316677151366,2.2393692940972003
100,denoise_random,test,2.2495478789011636,0.001861211697369737,2.2484947992481583,2.250600958554169
150,denoise_random,train,2.184307634830475,0.0023077325491994644,2.1830019122221467,2.185613357438803
150,denoise_random,test,2.204394221305847,0.0017994085251031998,2.203376110089424,2.2054123325222705
200,denoise_random,train,2.095065633455912,0.004002181813622678,2.09280118592342,2.0973300809884043
200,denoise_random,test,2.1293898622194924,0.003251550317809998,2.1275501244372466,2.1312296000017383
250,denoise_random,train,1.968518336613973,0.004598296776875489,1.9659166052896688,1.971120067938277
250,denoise_random,test,2.021968046824137,0.004386345709273139,2.01948623810565,2.0244498555426245
300,denoise_random,train,1.8107849558194478,0.005642320924549569,1.8075925122248977,1.8139773994139978
300,denoise_random,test,1.8873700499534607,0.005819503352487126,1.8840773559628945,1.890662743944027
0,denoise_sharp,train,2.2904651165008545,0.0,2.2904651165008545,2.2904651165008545
0,denoise_sharp,test,2.2999489307403564,0.0,2.2999489307403564,2.2999489307403564
50,denoise_sharp,train,2.2686237692832947,0.0003733166293108672,2.268412545515998,2.2688349930505916
50,denoise_sharp,test,2.2767772873242698,0.0003706854661785655,2.2765675522776605,2.276987022370879
100,denoise_sharp,train,2.2383896509806314,0.0016502578189456333,2.237455929720551,2.2393233722407118
100,denoise_sharp,test,2.249694526195526,0.0013723947875704675,2.2489180207454886,2.2504710316455636
150,denoise_sharp,train,2.1837050318717957,0.003471113498056573,2.181741064525555,2.1856689992180365
150,denoise_sharp,test,2.203538497289022,0.002766549521854487,2.2019731745400764,2.2051038200379676
200,denoise_sharp,train,2.0944182674090066,0.00577555454959997,2.0911504397945544,2.097686095023459
200,denoise_sharp,test,2.128684719403585,0.004518952638289935,2.1261278812518567,2.131241557555313
250,denoise_sharp,train,1.9663918018341064,0.00487315198204656,1.9636345565376427,1.9691490471305702
250,denoise_sharp,test,2.020201643308004,0.004137277458678284,2.0178607582186134,2.0225425283973943
300,denoise_sharp,train,1.8078639010588329,0.005958167023574221,1.8044927507105943,1.8112350514070714
300,denoise_sharp,test,1.885044703880946,0.005462764308762194,1.8819538540056462,1.8881355537562456
