direction,eigenvalue,measured_variance,predicted_variance
0,-0.11991853266954422,3.4943508353535435e-07,6.5153490140801296e-06
381,0.12582871317863464,2.569619391579181e-05,0.0005590189248323441
382,0.131965771317482,1.899418384709861e-05,9.443772432859987e-05
383,0.15682657063007355,9.558397141518071e-05,0.00011850714508909732
384,0.16638408601284027,5.702655471395701e-05,0.0001417025923728943
385,0.18860892951488495,6.767837476218119e-05,0.0002611038798931986
